temps us	Amplitude - tdv
1	4.07145E+6
5.69412	4.06686E+6
10.3882	4.06807E+6
15.0824	4.07173E+6
19.7765	4.07467E+6
24.4706	4.07788E+6
29.1647	4.08124E+6
33.8588	4.08106E+6
38.5529	4.08149E+6
43.2471	4.08827E+6
47.9412	4.0877E+6
52.6353	4.08893E+6
57.3294	4.08817E+6
62.0235	4.08729E+6
66.7176	4.09044E+6
71.4118	4.09159E+6
76.1059	4.09113E+6
80.8	4.09112E+6
85.4941	4.09177E+6
90.1882	4.0905E+6
94.8824	4.09152E+6
99.5765	4.09658E+6
104.271	4.09405E+6
108.965	4.09334E+6
113.659	4.09485E+6
118.353	4.09579E+6
123.047	4.09604E+6
127.741	4.09933E+6
132.435	4.09723E+6
137.129	4.09861E+6
141.824	4.09652E+6
146.518	4.10059E+6
151.212	4.10052E+6
155.906	4.09737E+6
160.6	4.09454E+6
165.294	4.09951E+6
169.988	4.09874E+6
174.682	4.10008E+6
179.376	4.09936E+6
184.071	4.09801E+6
188.765	4.10094E+6
193.459	4.10024E+6
198.153	4.09869E+6
202.847	4.10521E+6
207.541	4.09876E+6
212.235	4.10102E+6
216.929	4.1014E+6
221.624	4.09906E+6
226.318	4.10045E+6
231.012	4.10235E+6
235.706	4.10197E+6
240.4	4.10202E+6
245.094	4.1009E+6
249.788	4.10031E+6
254.482	4.10123E+6
259.176	4.10267E+6
263.871	4.10305E+6
268.565	4.10116E+6
273.259	4.10147E+6
277.953	4.10265E+6
282.647	4.10221E+6
287.341	4.10374E+6
292.035	4.10204E+6
296.729	4.10109E+6
301.424	4.09969E+6
306.118	4.10121E+6
310.812	4.09994E+6
315.506	4.10302E+6
320.2	4.10094E+6
324.894	4.10362E+6
329.588	4.1021E+6
334.282	4.10129E+6
338.976	4.10602E+6
343.671	4.10458E+6
348.365	4.10487E+6
353.059	4.10116E+6
357.753	4.1014E+6
362.447	4.10497E+6
367.141	4.10155E+6
371.835	4.10312E+6
376.529	4.10476E+6
381.224	4.10312E+6
385.918	4.10442E+6
390.612	4.10208E+6
395.306	4.10422E+6
400	4.10463E+6
