Temps - tdv us	Amplitude - tdv
1	7.68607E+6
10.4	7.70276E+6
19.8	7.72312E+6
29.2	7.739E+6
38.6	7.75257E+6
48	7.76532E+6
57.4	7.77253E+6
66.8	7.77934E+6
76.2	7.7816E+6
85.6	7.78987E+6
95	7.78945E+6
104.4	7.79202E+6
113.8	7.78871E+6
123.2	7.79694E+6
132.6	7.79995E+6
142	7.80342E+6
151.4	7.80112E+6
160.8	7.80187E+6
170.2	7.80514E+6
179.6	7.80833E+6
189	7.80667E+6
198.4	7.80866E+6
207.8	7.81125E+6
217.2	7.81013E+6
226.6	7.81148E+6
236	7.81615E+6
245.4	7.81665E+6
254.8	7.81608E+6
264.2	7.81678E+6
273.6	7.81937E+6
283	7.82205E+6
292.4	7.81419E+6
301.8	7.82524E+6
311.2	7.82256E+6
320.6	7.81995E+6
330	7.81889E+6
339.4	7.82216E+6
348.8	7.82176E+6
358.2	7.82513E+6
367.6	7.82451E+6
377	7.82244E+6
386.4	7.82591E+6
395.8	7.82656E+6
405.2	7.82282E+6
414.6	7.82605E+6
424	7.82961E+6
433.4	7.82562E+6
442.8	7.82481E+6
452.2	7.82575E+6
461.6	7.82534E+6
471	7.83125E+6
480.4	7.82198E+6
489.8	7.82564E+6
499.2	7.82419E+6
508.6	7.82565E+6
518	7.82765E+6
527.4	7.82572E+6
536.8	7.8237E+6
546.2	7.82687E+6
555.6	7.82709E+6
565	7.8299E+6
574.4	7.82573E+6
583.8	7.8258E+6
593.2	7.82158E+6
602.6	7.82676E+6
612	7.82778E+6
621.4	7.82699E+6
630.8	7.82709E+6
640.2	7.82299E+6
649.6	7.82928E+6
659	7.82656E+6
668.4	7.82316E+6
677.8	7.82575E+6
687.2	7.82433E+6
696.6	7.82381E+6
706	7.82297E+6
715.4	7.82566E+6
724.8	7.82579E+6
734.2	7.82313E+6
743.6	7.82294E+6
753	7.823E+6
762.4	7.82626E+6
771.8	7.82115E+6
781.2	7.82598E+6
790.6	7.8212E+6
800	7.82135E+6
