f ESR (GHz)	Amplitude - ESR	I (uW)	PL
2.8688	6.05477E+6		
2.87	6.05183E+6		
2.8712	6.04641E+6		
2.8724	6.05433E+6		
2.8736	6.04966E+6		
2.8748	6.05016E+6		
2.876	6.04752E+6		
2.8772	6.0481E+6		
2.8784	6.05077E+6		
2.8796	6.05075E+6		
2.8808	6.05623E+6		
2.882	6.05287E+6		
2.8832	6.04555E+6		
2.8844	6.05443E+6		
2.8856	6.04872E+6		
2.8868	6.04907E+6		
2.888	6.05738E+6		
2.8892	6.04794E+6		
2.8904	6.0482E+6		
2.8916	6.05324E+6		
2.8928	6.0516E+6		
2.894	6.05152E+6		
2.8952	6.05387E+6		
2.8964	6.05181E+6		
2.8976	6.04817E+6		
2.8988	6.05085E+6		
2.9	6.05874E+6		
2.9012	6.05684E+6		
2.9024	6.05018E+6		
2.9036	6.04707E+6		
2.9048	6.05907E+6		
2.906	6.05492E+6		
2.9072	6.05239E+6		
2.9084	6.05992E+6		
2.9096	6.05206E+6		
2.9108	6.05002E+6		
2.912	6.05292E+6		
2.9132	6.05349E+6		
2.9144	6.0522E+6		
2.9156	6.05241E+6		
2.9168	6.05195E+6		
2.918	6.0571E+6		
2.9192	6.04936E+6		
2.9204	6.04911E+6		
2.9216	6.05165E+6		
2.9228	6.05123E+6		
2.924	6.04625E+6		
2.9252	6.05136E+6		
2.9264	6.05273E+6		
2.9276	6.04858E+6		
2.9288	6.04763E+6		
2.93	6.05524E+6		
2.9312	6.05432E+6		
2.9324	6.05247E+6		
2.9336	6.0521E+6		
2.9348	6.04749E+6		
2.936	6.04647E+6		
2.9372	6.05174E+6		
2.9384	6.05174E+6		
2.9396	6.0523E+6		
2.9408	6.04191E+6		
2.942	6.05519E+6		
2.9432	6.05426E+6		
2.9444	6.04981E+6		
2.9456	6.05086E+6		
2.9468	6.05141E+6		
2.948	6.05469E+6		
2.9492	6.0503E+6		
2.9504	6.03968E+6		
2.9516	6.04314E+6		
2.9528	6.05351E+6		
2.954	6.05187E+6		
2.9552	6.05316E+6		
2.9564	6.04819E+6		
2.9576	6.05627E+6		
2.9588	6.05066E+6		
2.96	6.05022E+6		
2.9612	6.05196E+6		
2.9624	6.04787E+6		
2.9636	6.05071E+6		
2.9648	6.05202E+6		
2.966	6.04393E+6		
2.9672	6.05048E+6		
2.9684	6.04479E+6		
2.9696	6.05221E+6		
2.9708	6.04985E+6		
2.972	6.04931E+6		
2.9732	6.05761E+6		
2.9744	6.05283E+6		
2.9756	6.04872E+6		
2.9768	6.04742E+6		
2.978	6.04566E+6		
2.9792	6.04853E+6		
2.9804	6.04873E+6		
2.9816	6.05772E+6		
2.9828	6.05358E+6		
2.984	6.05145E+6		
2.9852	6.05028E+6		
2.9864	6.04297E+6		
2.9876	6.04578E+6		
2.9888	6.04835E+6		
2.99	6.05593E+6		
2.9912	6.04227E+6		
2.9924	6.04648E+6		
2.9936	6.05238E+6		
2.9948	6.05187E+6		
2.996	6.04885E+6		
2.9972	6.0387E+6		
2.9984	6.0446E+6		
2.9996	6.04304E+6		
3.0008	6.04458E+6		
3.002	6.03913E+6		
3.0032	6.04874E+6		
3.0044	6.04607E+6		
3.0056	6.04444E+6		
3.0068	6.04794E+6		
3.008	6.04893E+6		
3.0092	6.04377E+6		
3.0104	6.04254E+6		
3.0116	6.03535E+6		
3.0128	6.04121E+6		
3.014	6.05077E+6		
3.0152	6.04562E+6		
3.0164	6.04546E+6		
3.0176	6.04586E+6		
3.0188	6.0496E+6		
3.02	6.04103E+6		
3.0212	6.04377E+6		
3.0224	6.04247E+6		
3.0236	6.05098E+6		
3.0248	6.04444E+6		
3.026	6.0389E+6		
3.0272	6.04764E+6		
3.0284	6.04185E+6		
3.0296	6.03739E+6		
3.0308	6.04064E+6		
3.032	6.03526E+6		
3.0332	6.03435E+6		
3.0344	6.03927E+6		
3.0356	6.01879E+6		
3.0368	6.02909E+6		
3.038	6.02702E+6		
3.0392	6.02297E+6		
3.0404	6.01626E+6		
3.0416	6.00237E+6		
3.0428	6.00073E+6		
3.044	6.00799E+6		
3.0452	6.01038E+6		
3.0464	6.0032E+6		
3.0476	6.01624E+6		
3.0488	6.01514E+6		
3.05	6.02045E+6		
3.0512	6.02307E+6		
3.0524	6.02097E+6		
3.0536	6.01787E+6		
3.0548	6.02878E+6		
3.056	6.03162E+6		
3.0572	6.0302E+6		
3.0584	6.02854E+6		
3.0596	6.02859E+6		
3.0608	6.0271E+6		
3.062	6.0241E+6		
3.0632	6.02491E+6		
3.0644	6.01916E+6		
3.0656	6.01997E+6		
3.0668	6.0111E+6		
3.068	6.00751E+6		
3.0692	6.00529E+6		
3.0704	5.993E+6		
3.0716	5.99748E+6		
3.0728	5.99181E+6		
3.074	5.99341E+6		
3.0752	5.98522E+6		
3.0764	5.99992E+6		
3.0776	6.01605E+6		
3.0788	6.00659E+6		
3.08	6.01762E+6		
3.0812	6.02223E+6		
3.0824	6.02932E+6		
3.0836	6.03121E+6		
3.0848	6.02816E+6		
3.086	6.03487E+6		
3.0872	6.03198E+6		
3.0884	6.04605E+6		
3.0896	6.03654E+6		
3.0908	6.03202E+6		
3.092	6.04303E+6		
3.0932	6.03837E+6		
3.0944	6.03219E+6		
3.0956	6.03706E+6		
3.0968	6.02045E+6		
3.098	6.02417E+6		
3.0992	6.01283E+6		
3.1004	6.01829E+6		
3.1016	6.00381E+6		
3.1028	5.99573E+6		
3.104	5.98882E+6		
3.1052	6.00967E+6		
3.1064	5.98982E+6		
3.1076	5.98271E+6		
3.1088	5.99779E+6		
3.11	6.00396E+6		
3.1112	5.99956E+6		
3.1124	6.01248E+6		
3.1136	6.01457E+6		
3.1148	6.02641E+6		
3.116	6.01896E+6		
3.1172	6.0363E+6		
3.1184	6.02682E+6		
3.1196	6.03197E+6		
3.1208	6.0337E+6		
3.122	6.03813E+6		
3.1232	6.03373E+6		
3.1244	6.03133E+6		
3.1256	6.02393E+6		
3.1268	6.02648E+6		
3.128	6.02524E+6		
3.1292	6.0175E+6		
3.1304	6.01341E+6		
3.1316	6.01031E+6		
3.1328	6.02137E+6		
3.134	6.01095E+6		
3.1352	6.01542E+6		
3.1364	6.02714E+6		
3.1376	6.02672E+6		
3.1388	6.028E+6		
3.14	6.02969E+6		
3.1412	6.03645E+6		
3.1424	6.03619E+6		
3.1436	6.04136E+6		
3.1448	6.03704E+6		
3.146	6.04071E+6		
3.1472	6.0407E+6		
3.1484	6.04748E+6		
3.1496	6.04589E+6		
3.1508	6.04594E+6		
3.152	6.03845E+6		
3.1532	6.04253E+6		
3.1544	6.04373E+6		
3.1556	6.04217E+6		
3.1568	6.04541E+6		
3.158	6.04424E+6		
3.1592	6.04507E+6		
3.1604	6.04552E+6		
3.1616	6.03844E+6		
3.1628	6.04049E+6		
3.164	6.03932E+6		
3.1652	6.04175E+6		
3.1664	6.03826E+6		
3.1676	6.04023E+6		
3.1688	6.0448E+6		
3.17	6.05086E+6		
3.1712	6.04655E+6		
3.1724	6.04717E+6		
3.1736	6.0396E+6		
3.1748	6.04187E+6		
3.176	6.04458E+6		
3.1772	6.03928E+6		
3.1784	6.04875E+6		
3.1796	6.04035E+6		
3.1808	6.04467E+6		
3.182	6.03756E+6		
3.1832	6.03911E+6		
3.1844	6.04836E+6		
3.1856	6.04964E+6		
3.1868	6.04209E+6		
3.188	6.04036E+6		
3.1892	6.03931E+6		
3.1904	6.04601E+6		
3.1916	6.03873E+6		
3.1928	6.04485E+6		
3.194	6.04261E+6		
3.1952	6.0419E+6		
3.1964	6.04392E+6		
3.1976	6.0486E+6		
3.1988	6.04544E+6		
3.2	6.04342E+6		
