Temps - Tracé 0	Amplitude - Tracé 0	I	PL
2.6	8.47683E+6	19	3,66E+05
2.6012	8.47501E+6	51	9,92E+05
2.6024	8.47312E+6	73	1,42E+06
2.6036	8.47451E+6	103	1,94E+06
2.6048	8.4738E+6	196	3,45E+06
2.606	8.47332E+6	299	4,85E+06
2.6072	8.4736E+6	407	6,10E+06
2.6084	8.47293E+6	505	7,10E+06
2.6096	8.48082E+6	612	7,96E+06
2.6108	8.4823E+6		
2.612	8.47655E+6		
2.6132	8.47403E+6		
2.6144	8.46937E+6		
2.6156	8.47216E+6		
2.6168	8.4733E+6		
2.618	8.47735E+6		
2.6192	8.47659E+6		
2.6204	8.47252E+6		
2.6216	8.47672E+6		
2.6228	8.48163E+6		
2.624	8.4748E+6		
2.6252	8.48068E+6		
2.6264	8.47457E+6		
2.6276	8.47818E+6		
2.6288	8.48087E+6		
2.63	8.47414E+6		
2.6312	8.47684E+6		
2.6324	8.47727E+6		
2.6336	8.47554E+6		
2.6348	8.48035E+6		
2.636	8.47269E+6		
2.6372	8.47819E+6		
2.6384	8.47965E+6		
2.6396	8.4775E+6		
2.6408	8.47755E+6		
2.642	8.47762E+6		
2.6432	8.47562E+6		
2.6444	8.47654E+6		
2.6456	8.47475E+6		
2.6468	8.48336E+6		
2.648	8.479E+6		
2.6492	8.47743E+6		
2.6504	8.47189E+6		
2.6516	8.4772E+6		
2.6528	8.48225E+6		
2.654	8.47829E+6		
2.6552	8.47762E+6		
2.6564	8.46979E+6		
2.6576	8.47635E+6		
2.6588	8.47544E+6		
2.66	8.4738E+6		
2.6612	8.47467E+6		
2.6624	8.47455E+6		
2.6636	8.46918E+6		
2.6648	8.47174E+6		
2.666	8.47759E+6		
2.6672	8.46907E+6		
2.6684	8.47331E+6		
2.6696	8.47242E+6		
2.6708	8.47701E+6		
2.672	8.4761E+6		
2.6732	8.46804E+6		
2.6744	8.47466E+6		
2.6756	8.46857E+6		
2.6768	8.47997E+6		
2.678	8.47971E+6		
2.6792	8.47725E+6		
2.6804	8.47125E+6		
2.6816	8.48038E+6		
2.6828	8.47097E+6		
2.684	8.46993E+6		
2.6852	8.47308E+6		
2.6864	8.47069E+6		
2.6876	8.47598E+6		
2.6888	8.4795E+6		
2.69	8.47359E+6		
2.6912	8.47287E+6		
2.6924	8.47342E+6		
2.6936	8.46795E+6		
2.6948	8.46599E+6		
2.696	8.46796E+6		
2.6972	8.47101E+6		
2.6984	8.46795E+6		
2.6996	8.46961E+6		
2.7008	8.47271E+6		
2.702	8.46928E+6		
2.7032	8.47073E+6		
2.7044	8.47145E+6		
2.7056	8.47269E+6		
2.7068	8.47641E+6		
2.708	8.46846E+6		
2.7092	8.47527E+6		
2.7104	8.46847E+6		
2.7116	8.46909E+6		
2.7128	8.46809E+6		
2.714	8.46767E+6		
2.7152	8.45901E+6		
2.7164	8.45706E+6		
2.7176	8.45061E+6		
2.7188	8.44658E+6		
2.72	8.43857E+6		
2.7212	8.45514E+6		
2.7224	8.42355E+6		
2.7236	8.42011E+6		
2.7248	8.41118E+6		
2.726	8.40257E+6		
2.7272	8.38945E+6		
