Temps - Tracé 0	Amplitude - Tracé 0	I	PL
2.7284	8.37761E+6		
2.7296	8.37276E+6		
2.7308	8.36734E+6		
2.732	8.35573E+6		
2.7332	8.35583E+6		
2.7344	8.34684E+6		
2.7356	8.34712E+6		
2.7368	8.34576E+6		
2.738	8.34495E+6		
2.7392	8.35057E+6		
2.7404	8.35237E+6		
2.7416	8.36159E+6		
2.7428	8.36939E+6		
2.744	8.38359E+6		
2.7452	8.38967E+6		
2.7464	8.40488E+6		
2.7476	8.43538E+6		
2.7488	8.42107E+6		
2.75	8.42969E+6		
2.7512	8.4507E+6		
2.7524	8.45341E+6		
2.7536	8.45577E+6		
2.7548	8.45562E+6		
2.756	8.46343E+6		
2.7572	8.46811E+6		
2.7584	8.46871E+6		
2.7596	8.46961E+6		
2.7608	8.46941E+6		
2.762	8.47866E+6		
2.7632	8.47213E+6		
2.7644	8.474E+6		
2.7656	8.47481E+6		
2.7668	8.47441E+6		
2.768	8.47807E+6		
2.7692	8.47275E+6		
2.7704	8.47437E+6		
2.7716	8.47187E+6		
2.7728	8.47287E+6		
2.774	8.47519E+6		
2.7752	8.4769E+6		
2.7764	8.47845E+6		
2.7776	8.47408E+6		
2.7788	8.47623E+6		
2.78	8.48156E+6		
2.7812	8.47574E+6		
2.7824	8.47909E+6		
2.7836	8.4728E+6		
2.7848	8.47317E+6		
2.786	8.46101E+6		
2.7872	8.47374E+6		
2.7884	8.47665E+6		
2.7896	8.46842E+6		
2.7908	8.46877E+6		
2.792	8.48162E+6		
2.7932	8.47155E+6		
2.7944	8.47525E+6		
2.7956	8.47255E+6		
2.7968	8.46796E+6		
2.798	8.4731E+6		
2.7992	8.47682E+6		
2.8004	8.47939E+6		
2.8016	8.47789E+6		
2.8028	8.48151E+6		
2.804	8.47268E+6		
2.8052	8.47867E+6		
2.8064	8.47955E+6		
2.8076	8.4836E+6		
2.8088	8.47242E+6		
2.81	8.48065E+6		
2.8112	8.47461E+6		
2.8124	8.47393E+6		
2.8136	8.47623E+6		
2.8148	8.4806E+6		
2.816	8.47639E+6		
2.8172	8.47582E+6		
2.8184	8.47788E+6		
2.8196	8.48119E+6		
2.8208	8.48158E+6		
2.822	8.47718E+6		
2.8232	8.47279E+6		
2.8244	8.47397E+6		
2.8256	8.47795E+6		
2.8268	8.47719E+6		
2.828	8.47687E+6		
2.8292	8.48141E+6		
2.8304	8.47646E+6		
2.8316	8.48063E+6		
2.8328	8.48154E+6		
2.834	8.47922E+6		
2.8352	8.4724E+6		
2.8364	8.47775E+6		
2.8376	8.48011E+6		
2.8388	8.47835E+6		
2.84	8.47725E+6		
2.8412	8.48014E+6		
2.8424	8.47795E+6		
2.8436	8.47303E+6		
2.8448	8.48264E+6		
2.846	8.48526E+6		
2.8472	8.48408E+6		
2.8484	8.48067E+6		
2.8496	8.4839E+6		
2.8508	8.47884E+6		
2.852	8.47929E+6		
2.8532	8.48123E+6		
2.8544	8.48843E+6		
2.8556	8.48677E+6		
2.8568	8.4852E+6		
2.858	8.47543E+6		
2.8592	8.47937E+6		
2.8604	8.47717E+6		
2.8616	8.48784E+6		
2.8628	8.48692E+6		
2.864	8.49088E+6		
2.8652	8.48882E+6		
2.8664	8.47834E+6		
2.8676	8.48299E+6		
2.8688	8.48783E+6		
2.87	8.48437E+6		
2.8712	8.48274E+6		
2.8724	8.47887E+6		
2.8736	8.48777E+6		
2.8748	8.48158E+6		
2.876	8.48757E+6		
2.8772	8.48552E+6		
2.8784	8.48471E+6		
2.8796	8.48905E+6		
2.8808	8.48814E+6		
2.882	8.48199E+6		
2.8832	8.48471E+6		
2.8844	8.4791E+6		
2.8856	8.48585E+6		
2.8868	8.48116E+6		
2.888	8.49065E+6		
2.8892	8.47998E+6		
2.8904	8.49294E+6		
2.8916	8.48801E+6		
2.8928	8.48074E+6		
2.894	8.47939E+6		
2.8952	8.48225E+6		
2.8964	8.47513E+6		
2.8976	8.48157E+6		
2.8988	8.48779E+6		
2.9	8.48057E+6		
2.9012	8.48525E+6		
2.9024	8.48826E+6		
2.9036	8.48667E+6		
2.9048	8.4841E+6		
2.906	8.47811E+6		
2.9072	8.48371E+6		
2.9084	8.48204E+6		
2.9096	8.48706E+6		
2.9108	8.47743E+6		
2.912	8.48606E+6		
2.9132	8.48537E+6		
2.9144	8.47975E+6		
2.9156	8.48903E+6		
2.9168	8.48216E+6		
2.918	8.48496E+6		
2.9192	8.48336E+6		
2.9204	8.48151E+6		
2.9216	8.4767E+6		
2.9228	8.48565E+6		
2.924	8.48786E+6		
2.9252	8.48379E+6		
2.9264	8.48255E+6		
2.9276	8.47728E+6		
2.9288	8.48365E+6		
2.93	8.48493E+6		
2.9312	8.47548E+6		
2.9324	8.47418E+6		
2.9336	8.48215E+6		
2.9348	8.48643E+6		
2.936	8.48531E+6		
2.9372	8.4814E+6		
2.9384	8.48515E+6		
2.9396	8.48099E+6		
2.9408	8.4823E+6		
2.942	8.48006E+6		
2.9432	8.47667E+6		
2.9444	8.48769E+6		
2.9456	8.48291E+6		
2.9468	8.47689E+6		
2.948	8.47639E+6		
2.9492	8.47728E+6		
2.9504	8.47482E+6		
2.9516	8.47952E+6		
2.9528	8.48416E+6		
2.954	8.48289E+6		
2.9552	8.4835E+6		
2.9564	8.48048E+6		
2.9576	8.48248E+6		
2.9588	8.48008E+6		
2.96	8.48118E+6		
2.9612	8.48188E+6		
2.9624	8.48692E+6		
2.9636	8.48285E+6		
2.9648	8.48602E+6		
2.966	8.48322E+6		
2.9672	8.48756E+6		
2.9684	8.48385E+6		
2.9696	8.48139E+6		
2.9708	8.4763E+6		
2.972	8.48246E+6		
2.9732	8.48277E+6		
2.9744	8.48355E+6		
2.9756	8.4816E+6		
2.9768	8.48469E+6		
2.978	8.48256E+6		
2.9792	8.48764E+6		
2.9804	8.48076E+6		
2.9816	8.47999E+6		
2.9828	8.48303E+6		
2.984	8.47669E+6		
2.9852	8.4734E+6		
2.9864	8.47359E+6		
2.9876	8.47675E+6		
2.9888	8.47903E+6		
2.99	8.47846E+6		
2.9912	8.47237E+6		
2.9924	8.47314E+6		
2.9936	8.47975E+6		
2.9948	8.47924E+6		
2.996	8.47531E+6		
2.9972	8.47739E+6		
2.9984	8.47188E+6		
2.9996	8.47702E+6		
3.0008	8.48167E+6		
3.002	8.47621E+6		
3.0032	8.47912E+6		
3.0044	8.47708E+6		
3.0056	8.48436E+6		
3.0068	8.47639E+6		
3.008	8.47206E+6		
3.0092	8.47943E+6		
3.0104	8.47909E+6		
3.0116	8.4661E+6		
3.0128	8.47372E+6		
3.014	8.4764E+6		
3.0152	8.47526E+6		
3.0164	8.47517E+6		
3.0176	8.47446E+6		
3.0188	8.47295E+6		
3.02	8.471E+6		
3.0212	8.47208E+6		
3.0224	8.47804E+6		
3.0236	8.47356E+6		
3.0248	8.47453E+6		
3.026	8.47589E+6		
3.0272	8.47432E+6		
3.0284	8.47216E+6		
3.0296	8.47955E+6		
3.0308	8.48112E+6		
3.032	8.4721E+6		
3.0332	8.47154E+6		
3.0344	8.46782E+6		
3.0356	8.46927E+6		
3.0368	8.47598E+6		
3.038	8.46079E+6		
3.0392	8.46738E+6		
3.0404	8.4609E+6		
3.0416	8.45481E+6		
3.0428	8.45516E+6		
3.044	8.44156E+6		
3.0452	8.43095E+6		
3.0464	8.42737E+6		
3.0476	8.41798E+6		
3.0488	8.40422E+6		
3.05	8.42637E+6		
3.0512	8.38218E+6		
3.0524	8.3663E+6		
3.0536	8.3591E+6		
3.0548	8.35061E+6		
3.056	8.34471E+6		
3.0572	8.34532E+6		
3.0584	8.34019E+6		
3.0596	8.33985E+6		
3.0608	8.35012E+6		
3.062	8.35542E+6		
3.0632	8.36304E+6		
3.0644	8.37091E+6		
3.0656	8.38423E+6		
3.0668	8.39599E+6		
3.068	8.41068E+6		
3.0692	8.42062E+6		
3.0704	8.42918E+6		
3.0716	8.44122E+6		
3.0728	8.44651E+6		
3.074	8.45388E+6		
3.0752	8.46209E+6		
3.0764	8.46144E+6		
3.0776	8.46772E+6		
3.0788	8.46742E+6		
3.08	8.4769E+6		
3.0812	8.47321E+6		
3.0824	8.47419E+6		
3.0836	8.46803E+6		
3.0848	8.47372E+6		
3.086	8.47182E+6		
3.0872	8.47345E+6		
3.0884	8.48103E+6		
3.0896	8.4786E+6		
3.0908	8.47567E+6		
3.092	8.48087E+6		
3.0932	8.47531E+6		
3.0944	8.47297E+6		
3.0956	8.47739E+6		
3.0968	8.47868E+6		
3.098	8.47883E+6		
3.0992	8.47228E+6		
3.1004	8.47452E+6		
3.1016	8.47513E+6		
3.1028	8.46892E+6		
3.104	8.47422E+6		
3.1052	8.47429E+6		
3.1064	8.47733E+6		
3.1076	8.47818E+6		
3.1088	8.47345E+6		
3.11	8.47575E+6		
3.1112	8.47473E+6		
3.1124	8.47343E+6		
3.1136	8.47363E+6		
3.1148	8.47126E+6		
3.116	8.47286E+6		
3.1172	8.47337E+6		
3.1184	8.47956E+6		
3.1196	8.47928E+6		
3.1208	8.47365E+6		
3.122	8.47729E+6		
3.1232	8.47439E+6		
3.1244	8.47343E+6		
3.1256	8.47747E+6		
3.1268	8.47419E+6		
3.128	8.47452E+6		
3.1292	8.48089E+6		
3.1304	8.48385E+6		
3.1316	8.47693E+6		
3.1328	8.46603E+6		
3.134	8.47442E+6		
3.1352	8.4764E+6		
3.1364	8.4749E+6		
3.1376	8.47539E+6		
3.1388	8.47863E+6		
3.14	8.47366E+6		
3.1412	8.47548E+6		
3.1424	8.47225E+6		
3.1436	8.47735E+6		
3.1448	8.46975E+6		
3.146	8.47836E+6		
3.1472	8.47735E+6		
3.1484	8.47285E+6		
3.1496	8.47494E+6		
3.1508	8.47384E+6		
3.152	8.4727E+6		
3.1532	8.47536E+6		
3.1544	8.48073E+6		
3.1556	8.47423E+6		
3.1568	8.47567E+6		
3.158	8.47915E+6		
3.1592	8.47431E+6		
3.1604	8.4806E+6		
3.1616	8.4775E+6		
3.1628	8.47473E+6		
3.164	8.47727E+6		
3.1652	8.47768E+6		
3.1664	8.47374E+6		
3.1676	8.47966E+6		
3.1688	8.47773E+6		
3.17	8.47716E+6		
3.1712	8.48017E+6		
3.1724	8.47453E+6		
3.1736	8.47243E+6		
3.1748	8.47907E+6		
3.176	8.47552E+6		
3.1772	8.47784E+6		
3.1784	8.47636E+6		
3.1796	8.47481E+6		
3.1808	8.47597E+6		
3.182	8.47482E+6		
3.1832	8.47553E+6		
3.1844	8.47601E+6		
3.1856	8.47687E+6		
3.1868	8.48099E+6		
3.188	8.47442E+6		
3.1892	8.47217E+6		
3.1904	8.47606E+6		
3.1916	8.47468E+6		
3.1928	8.4758E+6		
3.194	8.47378E+6		
3.1952	8.48163E+6		
3.1964	8.47042E+6		
3.1976	8.47722E+6		
3.1988	8.47874E+6		
3.2	8.47211E+6		
