f ESR	Amplitude - ESR 		
2.7044	3.42E+06		
2.7056	3.42E+06		
2.7068	3.42E+06		
2.708	3.42E+06		
2.7092	3.42E+06		
2.7104	3.42E+06		
2.7116	3.42E+06		
2.7128	3.42E+06		
2.714	3.42E+06		
2.7152	3.41E+06		
2.7164	3.42E+06		
2.7176	3.42E+06		
2.7188	3.42E+06		
2.72	3.42E+06		
2.7212	3.42E+06		
2.7224	3.42E+06		
2.7236	3.41E+06		
2.7248	3.41E+06		
2.726	3.41E+06		
2.7272	3.40E+06		
2.7284	3.40E+06		
2.7296	3.40E+06		
2.7308	3.39E+06		
2.732	3.38E+06		
2.7332	3.38E+06		
2.7344	3.37E+06		
2.7356	3.36E+06		
2.7368	3.36E+06		
2.738	3.36E+06		
2.7392	3.36E+06		
2.7404	3.37E+06		
2.7416	3.38E+06		
2.7428	3.38E+06		
2.744	3.39E+06		
2.7452	3.40E+06		
2.7464	3.40E+06		
2.7476	3.41E+06		
2.7488	3.41E+06		
2.75	3.42E+06		
2.7512	3.41E+06		
2.7524	3.42E+06		
2.7536	3.41E+06		
2.7548	3.41E+06		
2.756	3.42E+06		
2.7572	3.42E+06		
2.7584	3.42E+06		
2.7596	3.42E+06		
2.7608	3.42E+06		
2.762	3.42E+06		
2.7632	3.42E+06		
2.7644	3.42E+06		
2.7656	3.42E+06		
2.7668	3.42E+06		
2.768	3.41E+06		
2.7692	3.42E+06		
2.7704	3.42E+06		
2.7716	3.42E+06		
2.7728	3.42E+06		
2.774	3.42E+06		
2.7752	3.42E+06		
2.7764	3.42E+06		
2.7776	3.42E+06		
2.7788	3.42E+06		
2.78	3.42E+06		
2.7812	3.42E+06		
2.7824	3.42E+06		
2.7836	3.42E+06		
2.7848	3.42E+06		
2.786	3.42E+06		
2.7872	3.42E+06		
2.7884	3.42E+06		
2.7896	3.41E+06		
2.7908	3.42E+06		
2.792	3.42E+06		
2.7932	3.42E+06		
2.7944	3.42E+06		
2.7956	3.41E+06		
2.7968	3.42E+06		
2.798	3.42E+06		
2.7992	3.42E+06		
2.8004	3.42E+06		
2.8016	3.42E+06		
2.8028	3.42E+06		
2.804	3.42E+06		
2.8052	3.42E+06		
2.8064	3.42E+06		
2.8076	3.42E+06		
2.8088	3.42E+06		
2.81	3.42E+06		
2.8112	3.42E+06		
2.8124	3.42E+06		
2.8136	3.42E+06		
2.8148	3.42E+06		
2.816	3.42E+06		
2.8172	3.42E+06		
2.8184	3.41E+06		
2.8196	3.41E+06		
2.8208	3.42E+06		
2.822	3.42E+06		
2.8232	3.42E+06		
2.8244	3.42E+06		
2.8256	3.42E+06		
2.8268	3.42E+06		
2.828	3.42E+06		
2.8292	3.41E+06		
2.8304	3.42E+06		
2.8316	3.41E+06		
2.8328	3.42E+06		
2.834	3.42E+06		
2.8352	3.42E+06		
2.8364	3.42E+06		
2.8376	3.42E+06		
2.8388	3.42E+06		
2.84	3.42E+06		
2.8412	3.42E+06		
2.8424	3.42E+06		
2.8436	3.42E+06		
2.8448	3.42E+06		
2.846	3.42E+06		
2.8472	3.42E+06		
2.8484	3.42E+06		
2.8496	3.42E+06		
2.8508	3.42E+06		
2.852	3.42E+06		
2.8532	3.42E+06		
2.8544	3.42E+06		
2.8556	3.42E+06		
2.8568	3.42E+06		
2.858	3.42E+06		
2.8592	3.42E+06		
2.8604	3.42E+06		
2.8616	3.42E+06		
2.8628	3.42E+06		
2.864	3.42E+06		
2.8652	3.42E+06		
2.8664	3.42E+06		
2.8676	3.42E+06		
2.8688	3.42E+06		
2.87	3.42E+06		
2.8712	3.42E+06		
2.8724	3.42E+06		
2.8736	3.42E+06		
2.8748	3.42E+06		
2.876	3.42E+06		
2.8772	3.42E+06		
2.8784	3.42E+06		
2.8796	3.42E+06		
2.8808	3.42E+06		
2.882	3.42E+06		
2.8832	3.42E+06		
2.8844	3.42E+06		
2.8856	3.42E+06		
2.8868	3.42E+06		
2.888	3.42E+06		
2.8892	3.42E+06		
2.8904	3.42E+06		
2.8916	3.43E+06		
2.8928	3.42E+06		
2.894	3.42E+06		
2.8952	3.42E+06		
2.8964	3.42E+06		
2.8976	3.42E+06		
2.8988	3.42E+06		
2.9	3.42E+06		
2.9012	3.42E+06		
2.9024	3.42E+06		
2.9036	3.42E+06		
2.9048	3.42E+06		
2.906	3.42E+06		
2.9072	3.42E+06		
2.9084	3.42E+06		
2.9096	3.42E+06		
2.9108	3.42E+06		
2.912	3.42E+06		
2.9132	3.42E+06		
2.9144	3.42E+06		
2.9156	3.42E+06		
2.9168	3.42E+06		
2.918	3.42E+06		
2.9192	3.42E+06		
2.9204	3.42E+06		
2.9216	3.42E+06		
2.9228	3.42E+06		
2.924	3.42E+06		
2.9252	3.42E+06		
2.9264	3.42E+06		
2.9276	3.42E+06		
2.9288	3.42E+06		
2.93	3.42E+06		
2.9312	3.42E+06		
2.9324	3.42E+06		
2.9336	3.42E+06		
2.9348	3.42E+06		
2.936	3.42E+06		
2.9372	3.42E+06		
2.9384	3.42E+06		
2.9396	3.42E+06		
2.9408	3.42E+06		
2.942	3.42E+06		
2.9432	3.42E+06		
2.9444	3.42E+06		
2.9456	3.42E+06		
2.9468	3.42E+06		
2.948	3.42E+06		
2.9492	3.42E+06		
2.9504	3.42E+06		
2.9516	3.42E+06		
2.9528	3.42E+06		
2.954	3.42E+06		
2.9552	3.42E+06		
2.9564	3.42E+06		
2.9576	3.42E+06		
2.9588	3.42E+06		
2.96	3.42E+06		
2.9612	3.42E+06		
2.9624	3.42E+06		
2.9636	3.42E+06		
2.9648	3.42E+06		
2.966	3.42E+06		
2.9672	3.42E+06		
2.9684	3.42E+06		
2.9696	3.42E+06		
2.9708	3.42E+06		
2.972	3.42E+06		
2.9732	3.42E+06		
2.9744	3.42E+06		
2.9756	3.42E+06		
2.9768	3.42E+06		
2.978	3.42E+06		
2.9792	3.42E+06		
2.9804	3.42E+06		
2.9816	3.42E+06		
2.9828	3.41E+06		
2.984	3.41E+06		
2.9852	3.41E+06		
2.9864	3.42E+06		
2.9876	3.42E+06		
2.9888	3.42E+06		
2.99	3.42E+06		
2.9912	3.42E+06		
2.9924	3.42E+06		
2.9936	3.42E+06		
2.9948	3.43E+06		
2.996	3.42E+06		
2.9972	3.42E+06		
2.9984	3.42E+06		
2.9996	3.42E+06		
3.0008	3.41E+06		
3.002	3.42E+06		
3.0032	3.42E+06		
3.0044	3.42E+06		
3.0056	3.42E+06		
3.0068	3.42E+06		
3.008	3.42E+06		
3.0092	3.42E+06		
3.0104	3.42E+06		
3.0116	3.41E+06		
3.0128	3.42E+06		
3.014	3.42E+06		
3.0152	3.42E+06		
3.0164	3.42E+06		
3.0176	3.42E+06		
3.0188	3.42E+06		
3.02	3.42E+06		
3.0212	3.43E+06		
3.0224	3.42E+06		
3.0236	3.42E+06		
3.0248	3.42E+06		
3.026	3.42E+06		
3.0272	3.42E+06		
3.0284	3.42E+06		
3.0296	3.42E+06		
3.0308	3.42E+06		
3.032	3.42E+06		
3.0332	3.42E+06		
3.0344	3.42E+06		
3.0356	3.42E+06		
3.0368	3.42E+06		
3.038	3.42E+06		
3.0392	3.42E+06		
3.0404	3.41E+06		
3.0416	3.42E+06		
3.0428	3.41E+06		
3.044	3.41E+06		
3.0452	3.40E+06		
3.0464	3.40E+06		
3.0476	3.40E+06		
3.0488	3.39E+06		
3.05	3.40E+06		
3.0512	3.38E+06		
3.0524	3.37E+06		
3.0536	3.36E+06		
3.0548	3.36E+06		
3.056	3.36E+06		
3.0572	3.36E+06		
3.0584	3.37E+06		
3.0596	3.37E+06		
3.0608	3.39E+06		
3.062	3.39E+06		
3.0632	3.40E+06		
3.0644	3.40E+06		
3.0656	3.41E+06		
3.0668	3.41E+06		
3.068	3.41E+06		
3.0692	3.41E+06		
3.0704	3.41E+06		
3.0716	3.42E+06		
3.0728	3.42E+06		
3.074	3.42E+06		
3.0752	3.42E+06		
3.0764	3.42E+06		
3.0776	3.42E+06		
3.0788	3.42E+06		
3.08	3.41E+06		
3.0812	3.41E+06		
3.0824	3.41E+06		
3.0836	3.42E+06		
3.0848	3.42E+06		
3.086	3.42E+06		
3.0872	3.42E+06		
