Temps - Tracé 0	Amplitude - Tracé 0	
0	148831	
5E-7	146718	
1E-6	149412	
1.5E-6	149624	
2E-6	146813	
2.5E-6	146802	
3E-6	151484	
3.5E-6	150533	
4E-6	150733	
4.5E-6	149455	
5E-6	150025	
5.5E-6	153217	
6E-6	152213	
6.5E-6	153238	
7E-6	148873	
7.5E-6	150839	
8E-6	150046	
8.5E-6	150839	
9E-6	151198	
9.5E-6	150649	
1E-5	152340	
1.05E-5	152435	
1.1E-5	148747	
1.15E-5	152889	
1.2E-5	152382	
1.25E-5	151294	
1.3E-5	152445	
1.35E-5	151050	
1.4E-5	153925	
1.45E-5	152371	
1.5E-5	153101	
1.55E-5	150459	
1.6E-5	150564	
1.65E-5	152805	
1.7E-5	153185	
1.75E-5	154105	
1.8E-5	152245	
1.85E-5	152763	
1.9E-5	153619	
1.95E-5	151114	
2E-5	153566	
2.05E-5	152234	
2.1E-5	155161	
2.15E-5	153650	
2.2E-5	151970	
2.25E-5	152118	
2.3E-5	151864	
2.35E-5	153006	
2.4E-5	153629	
2.45E-5	153301	
2.5E-5	153862	
2.55E-5	154231	
2.6E-5	153111	
2.65E-5	151938	
2.7E-5	152361	
2.75E-5	153006	
2.8E-5	152371	
2.85E-5	154601	
2.9E-5	152551	
2.95E-5	154337	
3E-5	154158	
3.05E-5	148292	
3.1E-5	151600	
3.15E-5	150438	
3.2E-5	151346	
3.25E-5	151769	
3.3E-5	153819	
3.35E-5	151801	
3.4E-5	149455	
3.45E-5	152393	
3.5E-5	152805	
3.55E-5	150501	
3.6E-5	152361	
3.65E-5	149529	
3.7E-5	150004	
3.75E-5	149751	
3.8E-5	150681	
3.85E-5	150554	
3.9E-5	151124	
3.95E-5	151399	
4E-5	150078	
4.05E-5	151072	
4.1E-5	149983	
4.15E-5	149338	
4.2E-5	149877	
4.25E-5	149412	
4.3E-5	147880	
4.35E-5	149529	
4.4E-5	149973	
4.45E-5	147531	
4.5E-5	148630	
4.55E-5	149190	
4.6E-5	150226	
4.65E-5	147225	
4.7E-5	148377	
