0.0000E+00 	8.1861E+06 	0.0000E+00 	8.1808E+06 	0.0000E+00 	8.0767E+06 	0.0000E+00 	8.0024E+06 	0.0000E+00 	8.0067E+06 	0.0000E+00 	8.0586E+06 	0.0000E+00 	7.9528E+06 	0.0000E+00 	8.0868E+06 	0.0000E+00 	8.0942E+06 	
2.0000E-06 	8.1801E+06 	2.0000E-06 	8.1688E+06 	2.0000E-06 	8.0806E+06 	2.0000E-06 	7.9993E+06 	2.0000E-06 	8.0016E+06 	2.0000E-06 	8.0634E+06 	2.0000E-06 	7.9585E+06 	2.0000E-06 	8.0833E+06 	2.0000E-06 	8.0924E+06 	
4.0000E-06 	8.1866E+06 	4.0000E-06 	8.1708E+06 	4.0000E-06 	8.0870E+06 	4.0000E-06 	7.9969E+06 	4.0000E-06 	8.0050E+06 	4.0000E-06 	8.0625E+06 	4.0000E-06 	7.9600E+06 	4.0000E-06 	8.0830E+06 	4.0000E-06 	8.0947E+06 	
6.0000E-06 	8.1856E+06 	6.0000E-06 	8.1824E+06 	6.0000E-06 	8.0805E+06 	6.0000E-06 	8.0138E+06 	6.0000E-06 	8.0083E+06 	6.0000E-06 	8.0646E+06 	6.0000E-06 	7.9609E+06 	6.0000E-06 	8.0851E+06 	6.0000E-06 	8.0891E+06 	
8.0000E-06 	8.1812E+06 	8.0000E-06 	8.1712E+06 	8.0000E-06 	8.0834E+06 	8.0000E-06 	8.0031E+06 	8.0000E-06 	8.0095E+06 	8.0000E-06 	8.0598E+06 	8.0000E-06 	7.9556E+06 	8.0000E-06 	8.0882E+06 	8.0000E-06 	8.1008E+06 	
1.0000E-05 	8.1871E+06 	1.0000E-05 	8.1674E+06 	1.0000E-05 	8.0830E+06 	1.0000E-05 	8.0039E+06 	1.0000E-05 	8.0069E+06 	1.0000E-05 	8.0594E+06 	1.0000E-05 	7.9616E+06 	1.0000E-05 	8.0833E+06 	1.0000E-05 	8.0901E+06 	
1.2000E-05 	8.1840E+06 	1.2000E-05 	8.1693E+06 	1.2000E-05 	8.0828E+06 	1.2000E-05 	8.0079E+06 	1.2000E-05 	8.0025E+06 	1.2000E-05 	8.0661E+06 	1.2000E-05 	7.9596E+06 	1.2000E-05 	8.0872E+06 	1.2000E-05 	8.0922E+06 	
1.4000E-05 	8.1808E+06 	1.4000E-05 	8.1754E+06 	1.4000E-05 	8.0810E+06 	1.4000E-05 	8.0025E+06 	1.4000E-05 	8.0082E+06 	1.4000E-05 	8.0635E+06 	1.4000E-05 	7.9600E+06 	1.4000E-05 	8.0832E+06 	1.4000E-05 	8.0914E+06 	
1.6000E-05 	8.1847E+06 	1.6000E-05 	8.1842E+06 	1.6000E-05 	8.0885E+06 	1.6000E-05 	8.0076E+06 	1.6000E-05 	8.0049E+06 	1.6000E-05 	8.0621E+06 	1.6000E-05 	7.9606E+06 	1.6000E-05 	8.0838E+06 	1.6000E-05 	8.0889E+06 	
1.8000E-05 	8.1864E+06 	1.8000E-05 	8.1769E+06 	1.8000E-05 	8.0755E+06 	1.8000E-05 	7.9988E+06 	1.8000E-05 	8.0081E+06 	1.8000E-05 	8.0599E+06 	1.8000E-05 	7.9588E+06 	1.8000E-05 	8.0852E+06 	1.8000E-05 	8.0968E+06 	
2.0000E-05 	8.1858E+06 	2.0000E-05 	8.1678E+06 	2.0000E-05 	8.0841E+06 	2.0000E-05 	8.0068E+06 	2.0000E-05 	8.0102E+06 	2.0000E-05 	8.0633E+06 	2.0000E-05 	7.9590E+06 	2.0000E-05 	8.0829E+06 	2.0000E-05 	8.0891E+06 	
2.2000E-05 	8.1867E+06 	2.2000E-05 	8.1708E+06 	2.2000E-05 	8.0818E+06 	2.2000E-05 	8.0137E+06 	2.2000E-05 	8.0025E+06 	2.2000E-05 	8.0608E+06 	2.2000E-05 	7.9608E+06 	2.2000E-05 	8.0916E+06 	2.2000E-05 	8.0944E+06 	
2.4000E-05 	8.1854E+06 	2.4000E-05 	8.1731E+06 	2.4000E-05 	8.0780E+06 	2.4000E-05 	8.0007E+06 	2.4000E-05 	8.0049E+06 	2.4000E-05 	8.0647E+06 	2.4000E-05 	7.9638E+06 	2.4000E-05 	8.0857E+06 	2.4000E-05 	8.0929E+06 	
2.6000E-05 	8.1823E+06 	2.6000E-05 	8.1662E+06 	2.6000E-05 	8.0770E+06 	2.6000E-05 	8.0102E+06 	2.6000E-05 	8.0042E+06 	2.6000E-05 	8.0624E+06 	2.6000E-05 	7.9604E+06 	2.6000E-05 	8.0818E+06 	2.6000E-05 	8.1021E+06 	
