Temps - Tracé 0	Amplitude - Tracé 0	
0	3.41176E+6	
9.83607E-6	3.43786E+6	
1.96721E-5	3.44556E+6	
2.95082E-5	3.4433E+6	
3.93443E-5	3.44611E+6	
4.91803E-5	3.4452E+6	
5.90164E-5	3.44168E+6	
6.88525E-5	3.44398E+6	
7.86885E-5	3.44285E+6	
8.85246E-5	3.44284E+6	
9.83607E-5	3.44673E+6	
0.000108197	3.44698E+6	
0.000118033	3.44949E+6	
0.000127869	3.44749E+6	
0.000137705	3.4498E+6	
0.000147541	3.45111E+6	
0.000157377	3.45366E+6	
0.000167213	3.45052E+6	
0.000177049	3.45175E+6	
0.000186885	3.44826E+6	
0.000196721	3.44756E+6	
0.000206557	3.44706E+6	
0.000216393	3.44468E+6	
0.00022623	3.44296E+6	
0.000236066	3.44435E+6	
0.000245902	3.44088E+6	
0.000255738	3.44129E+6	
0.000265574	3.43834E+6	
0.00027541	3.43832E+6	
0.000285246	3.43572E+6	
0.000295082	3.43758E+6	
0.000304918	3.43549E+6	
0.000314754	3.43819E+6	
0.00032459	3.43461E+6	
0.000334426	3.43816E+6	
0.000344262	3.44142E+6	
0.000354098	3.43682E+6	
0.000363934	3.4405E+6	
0.00037377	3.44185E+6	
0.000383607	3.44261E+6	
0.000393443	3.44508E+6	
0.000403279	3.44494E+6	
0.000413115	3.44283E+6	
0.000422951	3.44273E+6	
0.000432787	3.44303E+6	
0.000442623	3.44235E+6	
0.000452459	3.44275E+6	
0.000462295	3.44188E+6	
0.000472131	3.43972E+6	
0.000481967	3.43861E+6	
0.000491803	3.43931E+6	
0.000501639	3.43909E+6	
0.000511475	3.43889E+6	
0.000521311	3.43647E+6	
0.000531148	3.43839E+6	
0.000540984	3.43505E+6	
0.00055082	3.43671E+6	
0.000560656	3.43706E+6	
0.000570492	3.43555E+6	
0.000580328	3.43836E+6	
