Temps - Tracé 0	Amplitude - Tracé 0	
0	952193	
1E-7	961490	
2E-7	891684	
3E-7	862020	
4E-7	906485	
5E-7	923369	
6E-7	885310	
7E-7	889632	
8E-7	883755	
9E-7	918611	
1E-6	895477	
1.1E-6	870011	
1.2E-6	915999	
1.3E-6	941963	
1.4E-6	861585	
1.5E-6	882822	
1.6E-6	927722	
1.7E-6	900546	
1.8E-6	862176	
1.9E-6	901914	
2E-6	909594	
2.1E-6	903748	
2.2E-6	888512	
2.3E-6	892337	
2.4E-6	919513	
2.5E-6	899706	
2.6E-6	858942	
2.7E-6	902722	
2.8E-6	917492	
2.9E-6	869327	
3E-6	873276	
3.1E-6	917026	
3.2E-6	900919	
3.3E-6	884190	
3.4E-6	888668	
3.5E-6	903966	
3.6E-6	904090	
3.7E-6	887673	
3.8E-6	881143	
3.9E-6	915751	
4E-6	905365	
4.1E-6	861958	
4.2E-6	901261	
4.3E-6	915626	
4.4E-6	900546	
4.5E-6	865565	
4.6E-6	903624	
4.7E-6	913792	
4.8E-6	893270	
