5.4959E+06 	5.4920E+06 	5.4985E+06 	5.5042E+06 	5.5000E+06 	5.5020E+06 	5.5022E+06 	5.5015E+06 	5.4994E+06 	5.4945E+06 	5.4927E+06 	5.4932E+06 	5.4900E+06 	5.4910E+06 	5.4890E+06 	5.4780E+06 	5.4733E+06 	5.4678E+06 	5.4674E+06 	5.4668E+06 	5.4711E+06 	5.4835E+06 	5.4884E+06 	5.4807E+06 	
5.4752E+06 	5.4846E+06 	5.4883E+06 	5.4873E+06 	5.4862E+06 	5.4956E+06 	5.4923E+06 	5.4974E+06 	5.4928E+06 	5.4931E+06 	5.4910E+06 	5.4852E+06 	5.4892E+06 	5.4891E+06 	5.4796E+06 	5.4731E+06 	5.4683E+06 	5.4650E+06 	5.4629E+06 	5.4676E+06 	5.4721E+06 	5.4817E+06 	5.4898E+06 	5.4905E+06 	
5.4718E+06 	5.4752E+06 	5.4817E+06 	5.4791E+06 	5.4856E+06 	5.4857E+06 	5.4868E+06 	5.4869E+06 	5.4864E+06 	5.4868E+06 	5.4886E+06 	5.4843E+06 	5.4742E+06 	5.4776E+06 	5.4703E+06 	5.4720E+06 	5.4639E+06 	5.4600E+06 	5.4613E+06 	5.4659E+06 	5.4695E+06 	5.4786E+06 	5.4873E+06 	5.4922E+06 	
5.4678E+06 	5.4667E+06 	5.4738E+06 	5.4781E+06 	5.4810E+06 	5.4846E+06 	5.4923E+06 	5.4860E+06 	5.4918E+06 	5.4936E+06 	5.4931E+06 	5.4910E+06 	5.4916E+06 	5.4836E+06 	5.4810E+06 	5.4797E+06 	5.4718E+06 	5.4668E+06 	5.4639E+06 	5.4697E+06 	5.4744E+06 	5.4837E+06 	5.4861E+06 	5.4860E+06 	
5.4707E+06 	5.4700E+06 	5.4751E+06 	5.4768E+06 	5.4821E+06 	5.4834E+06 	5.4859E+06 	5.4951E+06 	5.4857E+06 	5.4916E+06 	5.4870E+06 	5.4900E+06 	5.4877E+06 	5.4857E+06 	5.4813E+06 	5.4742E+06 	5.4748E+06 	5.4662E+06 	5.4667E+06 	5.4716E+06 	5.4808E+06 	5.4912E+06 	5.4937E+06 	5.4989E+06 	
5.4798E+06 	5.4811E+06 	5.4796E+06 	5.4797E+06 	5.4850E+06 	5.4874E+06 	5.4924E+06 	5.4958E+06 	5.4965E+06 	5.4948E+06 	5.4995E+06 	5.4981E+06 	5.4997E+06 	5.4973E+06 	5.4970E+06 	5.4929E+06 	5.4827E+06 	5.4756E+06 	5.4793E+06 	5.4823E+06 	5.4949E+06 	5.4960E+06 	5.4983E+06 	5.5062E+06 	
5.4970E+06 	5.5020E+06 	5.4977E+06 	5.4960E+06 	5.4939E+06 	5.4874E+06 	5.4917E+06 	5.4986E+06 	5.5014E+06 	5.5045E+06 	5.5087E+06 	5.5048E+06 	5.5081E+06 	5.5048E+06 	5.5052E+06 	5.4992E+06 	5.4919E+06 	5.4894E+06 	5.4852E+06 	5.4936E+06 	5.4974E+06 	5.5048E+06 	5.5084E+06 	5.5125E+06 	
5.5120E+06 	5.5150E+06 	5.5161E+06 	5.5089E+06 	5.5045E+06 	5.5145E+06 	5.5076E+06 	5.5080E+06 	5.5095E+06 	5.5134E+06 	5.5245E+06 	5.5201E+06 	5.5198E+06 	5.5189E+06 	5.5194E+06 	5.5111E+06 	5.5055E+06 	5.5073E+06 	5.5016E+06 	5.5086E+06 	5.5112E+06 	5.5226E+06 	5.5256E+06 	5.5322E+06 	
5.5238E+06 	5.5248E+06 	5.5275E+06 	5.5273E+06 	5.5245E+06 	5.5173E+06 	5.5165E+06 	5.5160E+06 	5.5054E+06 	5.5142E+06 	5.5120E+06 	5.5142E+06 	5.5165E+06 	5.5215E+06 	5.5226E+06 	5.5138E+06 	5.5116E+06 	5.5119E+06 	5.5071E+06 	5.5054E+06 	5.5103E+06 	5.5158E+06 	5.5295E+06 	5.5306E+06 	
5.5338E+06 	5.5324E+06 	5.5356E+06 	5.5363E+06 	5.5389E+06 	5.5349E+06 	5.5257E+06 	5.5208E+06 	5.5254E+06 	5.5202E+06 	5.5163E+06 	5.5275E+06 	5.5339E+06 	5.5321E+06 	5.5356E+06 	5.5289E+06 	5.5162E+06 	5.5195E+06 	5.5136E+06 	5.5148E+06 	5.5251E+06 	5.5354E+06 	5.5303E+06 	5.5328E+06 	
5.5373E+06 	5.5378E+06 	5.5400E+06 	5.5411E+06 	5.5433E+06 	5.5520E+06 	5.5464E+06 	5.5351E+06 	5.5377E+06 	5.5323E+06 	5.5259E+06 	5.5242E+06 	5.5274E+06 	5.5273E+06 	5.5293E+06 	5.5224E+06 	5.5269E+06 	5.5141E+06 	5.5140E+06 	5.5158E+06 	5.5216E+06 	5.5272E+06 	5.5292E+06 	5.5252E+06 	
