Temps - Tracé 0	Amplitude - Tracé 0	
0	476056	
1E-7	475548	
2E-7	458882	
3E-7	443593	
4E-7	449129	
5E-7	463118	
6E-7	462248	
7E-7	457939	
8E-7	445540	
9E-7	444525	
1E-6	457452	
1.1E-6	466366	
1.2E-6	451708	
1.3E-6	439019	
1.4E-6	455650	
1.5E-6	458706	
1.6E-6	455324	
1.7E-6	452138	
1.8E-6	449020	
1.9E-6	449264	
2E-6	463092	
2.1E-6	456033	
2.2E-6	443556	
2.3E-6	445519	
2.4E-6	457431	
2.5E-6	457079	
2.6E-6	451398	
2.7E-6	445918	
2.8E-6	449777	
2.9E-6	454484	
3E-6	455427	
3.1E-6	447151	
3.2E-6	444463	
3.3E-6	449093	
3.4E-6	458866	
3.5E-6	452547	
3.6E-6	445980	
3.7E-6	447311	
3.8E-6	454262	
3.9E-6	450916	
4E-6	452496	
4.1E-6	444970	
4.2E-6	445840	
4.3E-6	453340	
4.4E-6	453697	
4.5E-6	447057	
4.6E-6	445996	
4.7E-6	451077	
4.8E-6	450641	
