3.0700E+00 	9.7705E-01 	3.0700E+00 	9.7824E-01 	3.0700E+00 	9.7824E-01 	3.0700E+00 	9.8043E-01 	
3.0702E+00 	9.7762E-01 	3.0702E+00 	9.7811E-01 	3.0702E+00 	9.7811E-01 	3.0702E+00 	9.8006E-01 	
3.0704E+00 	9.7762E-01 	3.0704E+00 	9.7788E-01 	3.0704E+00 	9.7788E-01 	3.0704E+00 	9.8037E-01 	
3.0706E+00 	9.7731E-01 	3.0706E+00 	9.7777E-01 	3.0706E+00 	9.7777E-01 	3.0706E+00 	9.8053E-01 	
3.0708E+00 	9.7779E-01 	3.0708E+00 	9.7770E-01 	3.0708E+00 	9.7770E-01 	3.0708E+00 	9.8086E-01 	
3.0710E+00 	9.7769E-01 	3.0710E+00 	9.7762E-01 	3.0710E+00 	9.7762E-01 	3.0710E+00 	9.7994E-01 	
3.0712E+00 	9.7738E-01 	3.0712E+00 	9.7821E-01 	3.0712E+00 	9.7821E-01 	3.0712E+00 	9.8052E-01 	
3.0714E+00 	9.7736E-01 	3.0714E+00 	9.7766E-01 	3.0714E+00 	9.7766E-01 	3.0714E+00 	9.8086E-01 	
3.0716E+00 	9.7764E-01 	3.0716E+00 	9.7801E-01 	3.0716E+00 	9.7801E-01 	3.0716E+00 	9.8037E-01 	
3.0718E+00 	9.7750E-01 	3.0718E+00 	9.7777E-01 	3.0718E+00 	9.7777E-01 	3.0718E+00 	9.8081E-01 	
3.0720E+00 	9.7696E-01 	3.0720E+00 	9.7765E-01 	3.0720E+00 	9.7765E-01 	3.0720E+00 	9.8065E-01 	
3.0722E+00 	9.7772E-01 	3.0722E+00 	9.7778E-01 	3.0722E+00 	9.7778E-01 	3.0722E+00 	9.8058E-01 	
3.0724E+00 	9.7755E-01 	3.0724E+00 	9.7781E-01 	3.0724E+00 	9.7781E-01 	3.0724E+00 	9.7980E-01 	
3.0726E+00 	9.7755E-01 	3.0726E+00 	9.7821E-01 	3.0726E+00 	9.7821E-01 	3.0726E+00 	9.8041E-01 	
3.0728E+00 	9.7725E-01 	3.0728E+00 	9.7787E-01 	3.0728E+00 	9.7787E-01 	3.0728E+00 	9.8086E-01 	
3.0730E+00 	9.7764E-01 	3.0730E+00 	9.7792E-01 	3.0730E+00 	9.7792E-01 	3.0730E+00 	9.8032E-01 	
3.0732E+00 	9.7785E-01 	3.0732E+00 	9.7800E-01 	3.0732E+00 	9.7800E-01 	3.0732E+00 	9.8046E-01 	
3.0734E+00 	9.7765E-01 	3.0734E+00 	9.7763E-01 	3.0734E+00 	9.7763E-01 	3.0734E+00 	9.8052E-01 	
3.0736E+00 	9.7749E-01 	3.0736E+00 	9.7784E-01 	3.0736E+00 	9.7784E-01 	3.0736E+00 	9.8017E-01 	
3.0738E+00 	9.7789E-01 	3.0738E+00 	9.7755E-01 	3.0738E+00 	9.7755E-01 	3.0738E+00 	9.8066E-01 	
3.0740E+00 	9.7806E-01 	3.0740E+00 	9.7826E-01 	3.0740E+00 	9.7826E-01 	3.0740E+00 	9.8090E-01 	
3.0742E+00 	9.7768E-01 	3.0742E+00 	9.7805E-01 	3.0742E+00 	9.7805E-01 	3.0742E+00 	9.8083E-01 	
3.0744E+00 	9.7767E-01 	3.0744E+00 	9.7781E-01 	3.0744E+00 	9.7781E-01 	3.0744E+00 	9.7999E-01 	
3.0746E+00 	9.7766E-01 	3.0746E+00 	9.7797E-01 	3.0746E+00 	9.7797E-01 	3.0746E+00 	9.8043E-01 	
3.0748E+00 	9.7804E-01 	3.0748E+00 	9.7780E-01 	3.0748E+00 	9.7780E-01 	3.0748E+00 	9.8011E-01 	
3.0750E+00 	9.7761E-01 	3.0750E+00 	9.7806E-01 	3.0750E+00 	9.7806E-01 	3.0750E+00 	9.8076E-01 	
