2.7200E+00 	1.5498E-02 	2.6000E+00 	5.2738E-03 	
2.7201E+00 	3.1980E-03 	2.6002E+00 	3.6084E-03 	
2.7202E+00 	1.4760E-02 	2.6005E+00 	2.6049E-03 	
2.7202E+00 	2.0910E-02 	2.6008E+00 	2.7971E-03 	
2.7203E+00 	2.1156E-02 	2.6010E+00 	5.6368E-03 	
2.7204E+00 	4.2312E-02 	2.6013E+00 	9.1598E-03 	
2.7205E+00 	2.6814E-02 	2.6015E+00 	7.5585E-03 	
2.7206E+00 	2.9520E-02 	2.6018E+00 	3.6298E-03 	
2.7206E+00 	4.0590E-02 	2.6020E+00 	2.9038E-03 	
2.7207E+00 	3.4932E-02 	2.6023E+00 	3.3095E-03 	
2.7208E+00 	2.9520E-02 	2.6025E+00 	3.7792E-03 	
2.7209E+00 	1.6728E-02 	2.6027E+00 	4.0995E-03 	
2.7210E+00 	2.9766E-02 	2.6030E+00 	4.6333E-03 	
2.7210E+00 	3.2718E-02 	2.6033E+00 	4.2917E-03 	
2.7211E+00 	2.4108E-02 	2.6035E+00 	4.4838E-03 	
2.7212E+00 	2.3124E-02 	2.6038E+00 	4.1422E-03 	
2.7213E+00 	4.7478E-02 	2.6040E+00 	3.5657E-03 	
2.7214E+00 	4.6494E-02 	2.6042E+00 	2.7971E-03 	
2.7214E+00 	6.4207E-02 	2.6045E+00 	9.8217E-04 	
2.7215E+00 	4.3296E-02 	2.6048E+00 	2.1138E-03 	
2.7216E+00 	1.0578E-02 	2.6050E+00 	3.2668E-03 	
2.7217E+00 	8.3641E-03 	2.6053E+00 	4.0995E-03 	
2.7218E+00 	1.8942E-02 	2.6055E+00 	2.3914E-03 	
2.7218E+00 	2.6076E-02 	2.6058E+00 	9.1812E-04 	
2.7219E+00 	4.4034E-02 	2.6060E+00 	2.6049E-03 	
2.7220E+00 	3.5916E-02 	2.6063E+00 	4.9536E-03 	
2.7221E+00 	2.2386E-02 	2.6065E+00 	4.2276E-03 	
2.7222E+00 	6.1501E-03 	2.6067E+00 	3.6298E-03 	
2.7222E+00 	1.5744E-02 	2.6070E+00 	4.8682E-03 	
2.7223E+00 	2.0418E-02 	2.6073E+00 	3.3949E-03 	
2.7224E+00 	3.0012E-02 	2.6075E+00 	3.0960E-03 	
2.7225E+00 	4.3542E-02 	2.6078E+00 	3.7365E-03 	
