5.8848E+06 	5.8878E+06 	5.8958E+06 	5.8974E+06 	5.8935E+06 	5.8833E+06 	5.8752E+06 	5.8661E+06 	5.8751E+06 	5.8848E+06 	5.8865E+06 	5.8935E+06 	
5.8791E+06 	5.8898E+06 	5.8903E+06 	5.8885E+06 	5.8898E+06 	5.8845E+06 	5.8740E+06 	5.8671E+06 	5.8776E+06 	5.8890E+06 	5.9001E+06 	5.8987E+06 	
5.8799E+06 	5.8911E+06 	5.8921E+06 	5.8964E+06 	5.9019E+06 	5.8881E+06 	5.8814E+06 	5.8700E+06 	5.8747E+06 	5.8891E+06 	5.8951E+06 	5.9008E+06 	
5.8821E+06 	5.8864E+06 	5.8945E+06 	5.8974E+06 	5.8996E+06 	5.8938E+06 	5.8868E+06 	5.8773E+06 	5.8897E+06 	5.8954E+06 	5.9040E+06 	5.9101E+06 	
5.8856E+06 	5.8835E+06 	5.8914E+06 	5.8980E+06 	5.9020E+06 	5.8989E+06 	5.8874E+06 	5.8766E+06 	5.8848E+06 	5.8938E+06 	5.9026E+06 	5.8987E+06 	
5.8924E+06 	5.8980E+06 	5.8982E+06 	5.8921E+06 	5.8969E+06 	5.9038E+06 	5.8948E+06 	5.8821E+06 	5.8890E+06 	5.8984E+06 	5.9003E+06 	5.8966E+06 	
5.8920E+06 	5.9000E+06 	5.8961E+06 	5.8984E+06 	5.8894E+06 	5.8791E+06 	5.8791E+06 	5.8791E+06 	5.8801E+06 	5.8825E+06 	5.8861E+06 	5.8939E+06 	
5.8774E+06 	5.8821E+06 	5.8850E+06 	5.8831E+06 	5.8790E+06 	5.8694E+06 	5.8549E+06 	5.8521E+06 	5.8605E+06 	5.8727E+06 	5.8838E+06 	5.8896E+06 	
5.8712E+06 	5.8784E+06 	5.8808E+06 	5.8812E+06 	5.8760E+06 	5.8696E+06 	5.8475E+06 	5.8360E+06 	5.8488E+06 	5.8744E+06 	5.8828E+06 	5.8884E+06 	
5.8945E+06 	5.8947E+06 	5.8935E+06 	5.8928E+06 	5.8858E+06 	5.8783E+06 	5.8738E+06 	5.8737E+06 	5.8824E+06 	5.8899E+06 	5.8955E+06 	5.9000E+06 	
5.8931E+06 	5.9053E+06 	5.9049E+06 	5.8911E+06 	5.9029E+06 	5.9009E+06 	5.8957E+06 	5.8874E+06 	5.8936E+06 	5.8904E+06 	5.8907E+06 	5.8909E+06 	
5.8925E+06 	5.8921E+06 	5.8888E+06 	5.8924E+06 	5.8971E+06 	5.8951E+06 	5.8848E+06 	5.8738E+06 	5.8828E+06 	5.8964E+06 	5.8964E+06 	5.8918E+06 	
