f ESR GHz	Amplitude - ESR
2.8004	5.23E+06
2.8016	5.22E+06
2.8028	5.23E+06
2.804	5.23E+06
2.8052	5.22E+06
2.8064	5.22E+06
2.8076	5.23E+06
2.8088	5.23E+06
2.81	5.22E+06
2.8112	5.23E+06
2.8124	5.22E+06
2.8136	5.22E+06
2.8148	5.23E+06
2.816	5.23E+06
2.8172	5.23E+06
2.8184	5.22E+06
2.8196	5.22E+06
2.8208	5.23E+06
2.822	5.23E+06
2.8232	5.23E+06
2.8244	5.22E+06
2.8256	5.22E+06
2.8268	5.22E+06
2.828	5.22E+06
2.8292	5.23E+06
2.8304	5.23E+06
2.8316	5.22E+06
2.8328	5.23E+06
2.834	5.22E+06
2.8352	5.22E+06
2.8364	5.23E+06
2.8376	5.23E+06
2.8388	5.22E+06
2.84	5.22E+06
2.8412	5.22E+06
2.8424	5.22E+06
2.8436	5.22E+06
2.8448	5.21E+06
2.846	5.20E+06
2.8472	5.20E+06
2.8484	5.19E+06
2.8496	5.18E+06
2.8508	5.18E+06
2.852	5.17E+06
2.8532	5.17E+06
2.8544	5.18E+06
2.8556	5.18E+06
2.8568	5.19E+06
2.858	5.20E+06
2.8592	5.20E+06
2.8604	5.20E+06
2.8616	5.21E+06
2.8628	5.21E+06
2.864	5.21E+06
2.8652	5.21E+06
2.8664	5.21E+06
2.8676	5.21E+06
2.8688	5.21E+06
2.87	5.20E+06
2.8712	5.20E+06
2.8724	5.20E+06
2.8736	5.19E+06
2.8748	5.19E+06
2.876	5.19E+06
2.8772	5.19E+06
2.8784	5.20E+06
2.8796	5.20E+06
2.8808	5.20E+06
2.882	5.21E+06
2.8832	5.21E+06
2.8844	5.22E+06
2.8856	5.22E+06
2.8868	5.22E+06
2.888	5.22E+06
2.8892	5.22E+06
2.8904	5.22E+06
2.8916	5.21E+06
2.8928	5.20E+06
2.894	5.20E+06
2.8952	5.19E+06
2.8964	5.19E+06
2.8976	5.18E+06
2.8988	5.18E+06
2.9	5.19E+06
2.9012	5.19E+06
2.9024	5.20E+06
2.9036	5.20E+06
2.9048	5.20E+06
2.906	5.21E+06
2.9072	5.21E+06
2.9084	5.21E+06
2.9096	5.21E+06
2.9108	5.21E+06
2.912	5.21E+06
2.9132	5.22E+06
2.9144	5.20E+06
2.9156	5.19E+06
2.9168	5.19E+06
2.918	5.18E+06
2.9192	5.17E+06
2.9204	5.17E+06
2.9216	5.18E+06
2.9228	5.18E+06
2.924	5.19E+06
2.9252	5.20E+06
2.9264	5.21E+06
2.9276	5.21E+06
2.9288	5.22E+06
2.93	5.21E+06
2.9312	5.22E+06
2.9324	5.22E+06
2.9336	5.22E+06
2.9348	5.22E+06
2.936	5.23E+06
2.9372	5.22E+06
2.9384	5.23E+06
2.9396	5.22E+06
2.9408	5.23E+06
2.942	5.22E+06
2.9432	5.22E+06
2.9444	5.23E+06
2.9456	5.23E+06
2.9468	5.22E+06
2.948	5.22E+06
2.9492	5.22E+06
2.9504	5.22E+06
2.9516	5.22E+06
2.9528	5.22E+06
2.954	5.22E+06
2.9552	5.22E+06
2.9564	5.22E+06
2.9576	5.22E+06
2.9588	5.23E+06
2.96	5.23E+06
2.9612	5.22E+06
2.9624	5.23E+06
2.9636	5.22E+06
2.9648	5.22E+06
2.966	5.23E+06
2.9672	5.22E+06
2.9684	5.23E+06
2.9696	5.23E+06
2.9708	5.22E+06
2.972	5.23E+06
2.9732	5.23E+06
2.9744	5.23E+06
2.9756	5.23E+06
2.9768	5.22E+06
2.978	5.23E+06
2.9792	5.22E+06
2.9804	5.22E+06
2.9816	5.22E+06
2.9828	5.23E+06
2.984	5.23E+06
2.9852	5.23E+06
2.9864	5.22E+06
2.9876	5.22E+06
2.9888	5.23E+06
2.99	5.22E+06
2.9912	5.23E+06
2.9924	5.23E+06
2.9936	5.23E+06
2.9948	5.23E+06
2.996	5.22E+06
2.9972	5.22E+06
2.9984	5.23E+06
2.9996	5.22E+06
3.0008	5.22E+06
3.002	5.21E+06
3.0032	5.21E+06
3.0044	5.20E+06
3.0056	5.20E+06
3.0068	5.19E+06
3.008	5.18E+06
3.0092	5.16E+06
3.0104	5.17E+06
3.0116	5.17E+06
3.0128	5.18E+06
3.014	5.18E+06
3.0152	5.19E+06
3.0164	5.20E+06
3.0176	5.21E+06
3.0188	5.21E+06
3.02	5.22E+06
3.0212	5.22E+06
3.0224	5.22E+06
3.0236	5.22E+06
3.0248	5.22E+06
3.026	5.21E+06
3.0272	5.21E+06
3.0284	5.21E+06
3.0296	5.20E+06
3.0308	5.20E+06
3.032	5.20E+06
3.0332	5.20E+06
3.0344	5.21E+06
3.0356	5.21E+06
3.0368	5.21E+06
3.038	5.22E+06
3.0392	5.22E+06
3.0404	5.22E+06
3.0416	5.22E+06
3.0428	5.22E+06
3.044	5.22E+06
3.0452	5.22E+06
3.0464	5.23E+06
3.0476	5.23E+06
3.0488	5.23E+06
3.05	5.23E+06
3.0512	5.23E+06
3.0524	5.22E+06
3.0536	5.23E+06
3.0548	5.23E+06
3.056	5.23E+06
3.0572	5.22E+06
3.0584	5.22E+06
3.0596	5.22E+06
3.0608	5.23E+06
3.062	5.23E+06
3.0632	5.23E+06
3.0644	5.23E+06
3.0656	5.23E+06
3.0668	5.23E+06
3.068	5.23E+06
3.0692	5.23E+06
3.0704	5.23E+06
3.0716	5.23E+06
3.0728	5.22E+06
3.074	5.23E+06
3.0752	5.23E+06
3.0764	5.22E+06
3.0776	5.23E+06
3.0788	5.23E+06
3.08	5.23E+06
3.0812	5.23E+06
3.0824	5.23E+06
3.0836	5.23E+06
3.0848	5.23E+06
3.086	5.23E+06
3.0872	5.23E+06
3.0884	5.23E+06
3.0896	5.24E+06
3.0908	5.23E+06
3.092	5.22E+06
3.0932	5.23E+06
3.0944	5.23E+06
3.0956	5.23E+06
3.0968	5.23E+06
3.098	5.23E+06
3.0992	5.23E+06
3.1004	5.22E+06
3.1016	5.23E+06
3.1028	5.23E+06
3.104	5.23E+06
3.1052	5.22E+06
3.1064	5.23E+06
3.1076	5.23E+06
3.1088	5.23E+06
3.11	5.23E+06
3.1112	5.23E+06
3.1124	5.23E+06
3.1136	5.23E+06
3.1148	5.23E+06
3.116	5.23E+06
3.1172	5.23E+06
3.1184	5.23E+06
3.1196	5.23E+06
3.1208	5.23E+06
3.122	5.23E+06
3.1232	5.23E+06
3.1244	5.23E+06
3.1256	5.22E+06
3.1268	5.22E+06
3.128	5.23E+06
3.1292	5.23E+06
3.1304	5.23E+06
3.1316	5.23E+06
3.1328	5.23E+06
3.134	5.23E+06
3.1352	5.23E+06
3.1364	5.23E+06
3.1376	5.22E+06
3.1388	5.23E+06
3.14	5.23E+06
3.1412	5.23E+06
3.1424	5.24E+06
3.1436	5.23E+06
3.1448	5.23E+06
3.146	5.23E+06
3.1472	5.23E+06
3.1484	5.23E+06
3.1496	5.23E+06
3.1508	5.23E+06
3.152	5.23E+06
3.1532	5.23E+06
3.1544	5.23E+06
3.1556	5.23E+06
3.1568	5.23E+06
3.158	5.23E+06
3.1592	5.23E+06
3.1604	5.22E+06
3.1616	5.23E+06
3.1628	5.23E+06
3.164	5.22E+06
3.1652	5.23E+06
3.1664	5.23E+06
3.1676	5.23E+06
3.1688	5.23E+06
3.17	5.23E+06
3.1712	5.23E+06
3.1724	5.23E+06
3.1736	5.23E+06
3.1748	5.23E+06
3.176	5.23E+06
3.1772	5.22E+06
3.1784	5.23E+06
3.1796	5.23E+06
3.1808	5.23E+06
3.182	5.23E+06
3.1832	5.23E+06
3.1844	5.23E+06
3.1856	5.23E+06
3.1868	5.23E+06
3.188	5.23E+06
3.1892	5.23E+06
3.1904	5.23E+06
3.1916	5.23E+06
3.1928	5.23E+06
3.194	5.23E+06
3.1952	5.23E+06
3.1964	5.23E+06
3.1976	5.23E+06
3.1988	5.23E+06
3.2	5.23E+06
