5.3566E+06	5.3427E+06	5.3624E+06	5.3472E+06	5.3653E+06	5.3464E+06	5.3393E+06	5.3239E+06	5.3276E+06	5.3265E+06	5.3500E+06	5.3689E+06	5.4034E+06	5.3859E+06	5.3626E+06	5.3681E+06	
5.3733E+06	5.3685E+06	5.3448E+06	5.3625E+06	5.3551E+06	5.3184E+06	5.3265E+06	5.3046E+06	5.2956E+06	5.3215E+06	5.3443E+06	5.3590E+06	5.3591E+06	5.3510E+06	5.3430E+06	5.3396E+06	
5.2894E+06	5.3296E+06	5.3690E+06	5.3386E+06	5.3166E+06	5.3304E+06	5.3104E+06	5.2896E+06	5.3045E+06	5.3370E+06	5.3269E+06	5.3415E+06	5.3082E+06	5.2998E+06	5.2830E+06	5.2422E+06	
5.2574E+06	5.2965E+06	5.3222E+06	5.3381E+06	5.3481E+06	5.3156E+06	5.2830E+06	5.2898E+06	5.3038E+06	5.3017E+06	5.3129E+06	5.2963E+06	5.2838E+06	5.3191E+06	5.3103E+06	5.3406E+06	
5.3339E+06	5.2843E+06	5.2814E+06	5.2990E+06	5.3053E+06	5.3103E+06	5.2706E+06	5.2624E+06	5.2853E+06	5.2970E+06	5.2609E+06	5.3062E+06	5.3375E+06	5.3450E+06	5.3618E+06	5.3600E+06	
5.3509E+06	5.3302E+06	5.3243E+06	5.2914E+06	5.2666E+06	5.3098E+06	5.2141E+06	5.1939E+06	5.2439E+06	5.2847E+06	5.2962E+06	5.3118E+06	5.3384E+06	5.3574E+06	5.3247E+06	5.2988E+06	
5.3181E+06	5.3077E+06	5.2927E+06	5.2803E+06	5.2557E+06	5.2010E+06	5.1687E+06	5.1924E+06	5.2177E+06	5.2576E+06	5.3267E+06	5.2940E+06	5.3242E+06	5.3293E+06	5.3328E+06	5.3357E+06	
5.3550E+06	5.3795E+06	5.3204E+06	5.2976E+06	5.2915E+06	5.2458E+06	5.2438E+06	5.2374E+06	5.2616E+06	5.2644E+06	5.2866E+06	5.2987E+06	5.3461E+06	5.3291E+06	5.3443E+06	5.3591E+06	
5.3595E+06	5.3160E+06	5.2907E+06	5.2374E+06	5.2433E+06	5.2882E+06	5.2641E+06	5.2688E+06	5.2961E+06	5.2555E+06	5.2374E+06	5.2628E+06	5.2797E+06	5.3140E+06	5.3463E+06	5.3379E+06	
5.3414E+06	5.2957E+06	5.2576E+06	5.2925E+06	5.3222E+06	5.3152E+06	5.2894E+06	5.3053E+06	5.3551E+06	5.3274E+06	5.3117E+06	5.2239E+06	5.2422E+06	5.3142E+06	5.3239E+06	5.3417E+06	
5.3150E+06	5.2788E+06	5.2726E+06	5.3222E+06	5.3420E+06	5.3213E+06	5.2854E+06	5.3326E+06	5.3397E+06	5.3357E+06	5.3239E+06	5.3023E+06	5.2698E+06	5.2553E+06	5.3010E+06	5.3440E+06	
