0.0000E+00 	2.3588E-01 	2.0040E-01 	8.5327E-02 	2.0040E-01 	8.0354E-02 	2.0040E-01 	9.7986E-02 	2.0040E-01 	7.5889E-02 	2.0040E-01 	1.7756E-01 	2.0040E-01 	1.7582E-01 	
4.0080E-02 	1.4067E-01 	2.4048E-01 	8.7321E-02 	2.4048E-01 	7.8311E-02 	2.4048E-01 	9.9075E-02 	2.4048E-01 	7.4466E-02 	2.4048E-01 	1.7734E-01 	2.4048E-01 	1.7452E-01 	
8.0160E-02 	1.6306E-01 	2.8056E-01 	8.8915E-02 	2.8056E-01 	7.9333E-02 	2.8056E-01 	9.9075E-02 	2.8056E-01 	7.4150E-02 	2.8056E-01 	1.7829E-01 	2.8056E-01 	1.7486E-01 	
1.2024E-01 	1.4174E-01 	3.2064E-01 	9.0112E-02 	3.2064E-01 	7.6609E-02 	3.2064E-01 	9.5264E-02 	3.2064E-01 	7.6206E-02 	3.2064E-01 	1.8167E-01 	3.2064E-01 	1.7682E-01 	
1.6032E-01 	1.3677E-01 	3.6072E-01 	9.1308E-02 	3.6072E-01 	7.5587E-02 	3.6072E-01 	1.0180E-01 	3.6072E-01 	7.7154E-02 	3.6072E-01 	1.8241E-01 	3.6072E-01 	1.7871E-01 	
2.0040E-01 	1.5488E-01 	4.0080E-01 	9.4896E-02 	4.0080E-01 	7.4566E-02 	4.0080E-01 	1.0016E-01 	4.0080E-01 	7.8103E-02 	4.0080E-01 	1.8197E-01 	4.0080E-01 	1.8207E-01 	
2.4048E-01 	1.5986E-01 	4.4088E-01 	9.4896E-02 	4.4088E-01 	7.4566E-02 	4.4088E-01 	9.7441E-02 	4.4088E-01 	7.7470E-02 	4.4088E-01 	1.8336E-01 	4.4088E-01 	1.8446E-01 	
2.8056E-01 	1.5417E-01 	4.8096E-01 	9.2105E-02 	4.8096E-01 	7.5928E-02 	4.8096E-01 	9.7441E-02 	4.8096E-01 	7.8577E-02 	4.8096E-01 	1.8718E-01 	4.8096E-01 	1.8691E-01 	
3.2064E-01 	1.5133E-01 	5.2104E-01 	9.4498E-02 	5.2104E-01 	7.7290E-02 	5.2104E-01 	9.6897E-02 	5.2104E-01 	7.7787E-02 	5.2104E-01 	1.8990E-01 	5.2104E-01 	1.8881E-01 	
3.6072E-01 	1.6306E-01 	5.6112E-01 	8.9713E-02 	5.6112E-01 	7.7290E-02 	5.6112E-01 	9.9075E-02 	5.6112E-01 	7.7787E-02 	5.6112E-01 	1.9056E-01 	5.6112E-01 	1.9173E-01 	
4.0080E-01 	1.4281E-01 	6.0120E-01 	8.6922E-02 	6.0120E-01 	7.5928E-02 	6.0120E-01 	9.6897E-02 	6.0120E-01 	7.5731E-02 	6.0120E-01 	1.9489E-01 	6.0120E-01 	1.9446E-01 	
4.4088E-01 	1.5737E-01 	6.4128E-01 	8.5327E-02 	6.4128E-01 	7.7971E-02 	6.4128E-01 	9.5808E-02 	6.4128E-01 	7.5415E-02 	6.4128E-01 	1.9518E-01 	6.4128E-01 	1.9583E-01 	
4.8096E-01 	1.4991E-01 	6.8136E-01 	8.3732E-02 	6.8136E-01 	8.0695E-02 	6.8136E-01 	9.7986E-02 	6.8136E-01 	7.5731E-02 	6.8136E-01 	1.9584E-01 	6.8136E-01 	1.9801E-01 	
5.2104E-01 	1.6341E-01 	7.2144E-01 	8.1738E-02 	7.2144E-01 	7.8992E-02 	7.2144E-01 	1.0289E-01 	7.2144E-01 	7.6522E-02 	7.2144E-01 	1.9783E-01 	7.2144E-01 	2.0220E-01 	
5.6112E-01 	1.6767E-01 	7.6152E-01 	8.4530E-02 	7.6152E-01 	8.0695E-02 	7.6152E-01 	1.0506E-01 	7.6152E-01 	7.4941E-02 	7.6152E-01 	1.9511E-01 	7.6152E-01 	2.0382E-01 	
6.0120E-01 	1.7158E-01 	8.0160E-01 	8.3732E-02 	8.0160E-01 	7.9673E-02 	8.0160E-01 	1.0071E-01 	8.0160E-01 	7.6522E-02 	8.0160E-01 	1.9658E-01 	8.0160E-01 	2.0574E-01 	
6.4128E-01 	1.5773E-01 	8.4168E-01 	8.2536E-02 	8.4168E-01 	8.2057E-02 	8.4168E-01 	1.0452E-01 	8.4168E-01 	7.6364E-02 	8.4168E-01 	1.9717E-01 	8.4168E-01 	2.0844E-01 	
6.8136E-01 	1.7620E-01 	8.8176E-01 	8.2536E-02 	8.8176E-01 	8.2057E-02 	8.8176E-01 	1.0724E-01 	8.8176E-01 	7.7312E-02 	8.8176E-01 	1.9658E-01 	8.8176E-01 	2.1112E-01 	
7.2144E-01 	1.7833E-01 	9.2184E-01 	7.8947E-02 	9.2184E-01 	8.2737E-02 	9.2184E-01 	1.0996E-01 	9.2184E-01 	8.0791E-02 	9.2184E-01 	1.9930E-01 	9.2184E-01 	2.1376E-01 	
7.6152E-01 	1.8117E-01 	9.6192E-01 	7.6954E-02 	9.6192E-01 	8.2057E-02 	9.6192E-01 	1.0833E-01 	9.6192E-01 	8.1423E-02 	9.6192E-01 	1.9937E-01 	9.6192E-01 	2.1512E-01 	
8.0160E-01 	1.7123E-01 	1.0020E+00 	8.2536E-02 	1.0020E+00 	8.1376E-02 	1.0020E+00 	1.0397E-01 	1.0020E+00 	8.1739E-02 	1.0020E+00 	2.0216E-01 	1.0020E+00 	2.1870E-01 	
8.4168E-01 	1.8330E-01 	1.0421E+00 	8.4928E-02 	1.0421E+00 	7.8992E-02 	1.0421E+00 	1.0670E-01 	1.0421E+00 	8.0632E-02 	1.0421E+00 	2.0157E-01 	1.0421E+00 	2.2028E-01 	
8.8176E-01 	1.7762E-01 	1.0822E+00 	9.1707E-02 	1.0822E+00 	8.0695E-02 	1.0822E+00 	1.0506E-01 	1.0822E+00 	7.8893E-02 	1.0822E+00 	2.0209E-01 	1.0822E+00 	2.2361E-01 	
