Photolum;f  ESR(Ghz);Amplitude - ESR
5.64M;2.76533;5.63912E+6
5.61M;2.7665;5.64443E+6
5.66M;2.76767;5.64671E+6
5.65M;2.76883;5.64397E+6
5.63M;2.77;5.6552E+6
5.67M;2.77117;5.65437E+6
5.68M;2.77233;5.6369E+6
5.64M;2.7735;5.65316E+6
5.63M;2.77467;5.64941E+6
5.61M;2.77583;5.63586E+6
5.64M;2.777;5.65126E+6
5.63M;2.77817;5.64428E+6
5.66M;2.77933;5.64303E+6
5.62M;2.7805;5.64942E+6
5.63M;2.78167;5.64561E+6
5.63M;2.78283;5.63758E+6
5.6M;2.784;5.64515E+6
5.61M;2.78517;5.65414E+6
5.61M;2.78633;5.64722E+6
5.62M;2.7875;5.64436E+6
5.62M;2.78867;5.64089E+6
5.63M;2.78983;5.64435E+6
5.62M;2.791;5.64302E+6
5.65M;2.79217;5.6423E+6
5.61M;2.79333;5.64453E+6
5.64M;2.7945;5.64839E+6
5.61M;2.79567;5.64608E+6
5.67M;2.79683;5.6486E+6
5.59M;2.798;5.64416E+6
5.62M;2.79917;5.64448E+6
5.62M;2.80033;5.64443E+6
5.64M;2.8015;5.64878E+6
5.61M;2.80267;5.63668E+6
5.65M;2.80383;5.64638E+6
5.62M;2.805;5.63671E+6
5.65M;2.80617;5.63755E+6
5.62M;2.80733;5.63973E+6
5.63M;2.8085;5.63132E+6
5.63M;2.80967;5.63193E+6
5.61M;2.81083;5.63582E+6
5.63M;2.812;5.63851E+6
5.65M;2.81317;5.6318E+6
5.62M;2.81433;5.63793E+6
5.61M;2.8155;5.64166E+6
5.7M;2.81667;5.63417E+6
5.63M;2.81783;5.63417E+6
5.62M;2.819;5.63774E+6
5.62M;2.82017;5.63673E+6
5.67M;2.82133;5.6344E+6
5.64M;2.8225;5.63623E+6
5.69M;2.82367;5.63923E+6
5.62M;2.82483;5.64026E+6
5.64M;2.826;5.64027E+6
5.65M;2.82717;5.63841E+6
5.65M;2.82833;5.63849E+6
5.65M;2.8295;5.64172E+6
5.59M;2.83067;5.64099E+6
5.62M;2.83183;5.64059E+6
5.64M;2.833;5.63424E+6
5.63M;2.83417;5.63512E+6
5.63M;2.83533;5.62981E+6
5.61M;2.8365;5.63002E+6
5.64M;2.83767;5.63346E+6
5.61M;2.83883;5.63244E+6
5.67M;2.84;5.631E+6
5.65M;2.84117;5.62575E+6
5.62M;2.84233;5.62282E+6
5.63M;2.8435;5.62483E+6
5.62M;2.84467;5.60857E+6
5.63M;2.84583;5.61657E+6
5.63M;2.847;5.6085E+6
5.6M;2.84817;5.61145E+6
5.6M;2.84933;5.59682E+6
5.63M;2.8505;5.59786E+6
5.63M;2.85167;5.58455E+6
5.62M;2.85283;5.57403E+6
5.65M;2.854;5.57187E+6
5.65M;2.85517;5.56092E+6
5.62M;2.85633;5.55281E+6
5.64M;2.8575;5.58695E+6
5.62M;2.85867;5.53522E+6
5.63M;2.85983;5.53191E+6
5.65M;2.861;5.52733E+6
5.63M;2.86217;5.5128E+6
5.66M;2.86333;5.51876E+6
5.63M;2.8645;5.50191E+6
5.63M;2.86567;5.52461E+6
5.62M;2.86683;5.53024E+6
5.66M;2.868;5.52635E+6
5.64M;2.86917;5.54042E+6
5.65M;2.87033;5.54569E+6
5.64M;2.8715;5.55403E+6
5.63M;2.87267;5.53391E+6
5.62M;2.87383;5.53171E+6
5.62M;2.875;5.52412E+6
5.66M;2.87617;5.50838E+6
5.63M;2.87733;5.52557E+6
5.61M;2.8785;5.51916E+6
5.63M;2.87967;5.53191E+6
5.66M;2.88083;5.53616E+6
5.64M;2.882;5.54842E+6
5.62M;2.88317;5.55159E+6
5.63M;2.88433;5.56451E+6
5.67M;2.8855;5.59347E+6
5.64M;2.88667;5.57508E+6
5.65M;2.88783;5.58782E+6
5.66M;2.889;5.59272E+6
5.7M;2.89017;5.60508E+6
5.63M;2.89133;5.60464E+6
5.64M;2.8925;5.61961E+6
5.64M;2.89367;5.61185E+6
5.63M;2.89483;5.60516E+6
5.67M;2.896;5.61735E+6
5.61M;2.89717;5.62802E+6
5.61M;2.89833;5.61923E+6
5.62M;2.8995;5.62099E+6
5.61M;2.90067;5.62131E+6
5.66M;2.90183;5.6289E+6
5.63M;2.903;5.62068E+6
5.63M;2.90417;5.63169E+6
5.66M;2.90533;5.6317E+6
5.66M;2.9065;5.63595E+6
5.65M;2.90767;5.64288E+6
5.61M;2.90883;5.64068E+6
5.64M;2.91;5.63492E+6
5.66M;2.91117;5.63892E+6
5.65M;2.91233;5.63844E+6
5.65M;2.9135;5.63261E+6
5.65M;2.91467;5.64669E+6
5.65M;2.91583;5.64296E+6
5.63M;2.917;5.63927E+6
5.62M;2.91817;5.64402E+6
5.62M;2.91933;5.64756E+6
5.62M;2.9205;5.64199E+6
5.67M;2.92167;5.64778E+6
5.65M;2.92283;5.6398E+6
5.65M;2.924;5.64302E+6
5.62M;2.92517;5.65069E+6
5.64M;2.92633;5.64324E+6
5.65M;2.9275;5.65032E+6
5.65M;2.92867;5.64791E+6
5.63M;2.92983;5.63702E+6
5.61M;2.931;5.63219E+6
5.61M;2.93217;5.63531E+6
5.63M;2.93333;5.64769E+6
5.64M;2.9345;5.63574E+6
5.61M;2.93567;5.64609E+6
5.62M;2.93683;5.64057E+6
5.64M;2.938;5.63385E+6
5.63M;2.93917;5.6418E+6
5.63M;2.94033;5.63569E+6
5.63M;2.9415;5.629E+6
5.63M;2.94267;5.64352E+6
5.63M;2.94383;5.63266E+6
5.62M;2.945;5.64145E+6
5.62M;2.94617;5.641E+6
5.62M;2.94733;5.64307E+6
5.62M;2.9485;5.63651E+6
5.67M;2.94967;5.64141E+6
5.64M;2.95083;5.63775E+6
5.62M;2.952;5.64311E+6
5.66M;2.95317;5.64649E+6
5.65M;2.95433;5.64669E+6
5.64M;2.9555;5.65365E+6
5.65M;2.95667;5.64649E+6
5.66M;2.95783;5.64565E+6
5.66M;2.959;5.64541E+6
5.63M;2.96017;5.64595E+6
5.64M;2.96133;5.64031E+6
5.63M;2.9625;5.64178E+6
5.65M;2.96367;5.64582E+6
5.66M;2.96483;5.64301E+6
5.64M;2.966;5.64076E+6
5.64M;2.96717;5.65178E+6
5.64M;2.96833;5.64194E+6
5.64M;2.9695;5.64157E+6
5.63M;2.97067;5.64087E+6
5.61M;2.97183;5.63748E+6
5.65M;2.973;5.65413E+6
5.63M;2.97417;5.65309E+6
5.61M;2.97533;5.64903E+6
5.62M;2.9765;5.65162E+6
5.65M;2.97767;5.64705E+6
5.65M;2.97883;5.64653E+6
5.63M;2.98;5.64797E+6
5.64M;2.98117;5.65445E+6
5.64M;2.98233;5.64202E+6
5.63M;2.9835;5.63844E+6
5.63M;2.98467;5.64467E+6
5.62M;2.98583;5.65048E+6
5.61M;2.987;5.64229E+6
5.62M;2.98817;5.64946E+6
5.65M;2.98933;5.64665E+6
5.64M;2.9905;5.64567E+6
5.66M;2.99167;5.64749E+6
5.65M;2.99283;5.64916E+6
5.64M;2.994;5.64741E+6
5.63M;2.99517;5.6507E+6
5.63M;2.99633;5.64631E+6
5.66M;2.9975;5.6494E+6
5.65M;2.99867;5.64598E+6
5.66M;2.99983;5.64674E+6
5.62M;3.001;5.64365E+6
5.62M;3.00217;5.64587E+6
5.65M;3.00333;5.65004E+6
5.66M;3.0045;5.64614E+6
5.62M;3.00567;5.6406E+6
5.61M;3.00683;5.65211E+6
5.63M;3.008;5.63961E+6
5.62M;3.00917;5.64326E+6
5.66M;3.01033;5.63926E+6
5.64M;3.0115;5.64878E+6
5.64M;3.01267;5.64291E+6
5.62M;3.01383;5.65667E+6
5.62M;3.015;5.64824E+6
5.63M;3.01617;5.64556E+6
5.65M;3.01733;5.64875E+6
5.62M;3.0185;5.65179E+6
5.64M;3.01967;5.65023E+6
5.65M;3.02083;5.6497E+6
5.68M;3.022;5.64869E+6
5.61M;3.02317;5.65523E+6
5.62M;3.02433;5.64887E+6
