f ESR (GHZ)	Amplitude ESR	photolum	Temps - tdv (us)	Amplitude - tdv
3.0776	5.80765E+6	5.77M		
3.0788	5.7777E+6	5.76M		
3.08	5.77331E+6	5.77M		
3.0812	5.77667E+6	5.76M		
3.0824	5.78102E+6	5.77M		
3.0836	5.77954E+6	5.74M		
3.0848	5.79482E+6	5.76M		
3.086	5.80468E+6	5.76M		
3.0872	5.81681E+6	5.79M		
3.0884	5.81902E+6	5.76M		
3.0896	5.83002E+6	5.77M		
3.0908	5.83625E+6	5.74M		
3.092	5.83088E+6	5.74M		
3.0932	5.84202E+6	5.76M		
3.0944	5.84605E+6	5.75M		
3.0956	5.84821E+6	5.74M		
3.0968	5.8488E+6	5.74M		
3.098	5.85382E+6	5.75M		
3.0992	5.85582E+6	5.76M		
3.1004	5.85011E+6	5.75M		
3.1016	5.84958E+6	5.71M		
3.1028	5.85618E+6	5.75M		
3.104	5.85576E+6	5.74M		
3.1052	5.85514E+6	5.75M		
3.1064	5.8549E+6	5.75M		
3.1076	5.85591E+6	5.76M		
3.1088	5.85822E+6	5.75M		
3.11	5.86584E+6	5.75M		
3.1112	5.86081E+6	5.71M		
3.1124	5.85942E+6	5.77M		
3.1136	5.86148E+6	5.76M		
3.1148	5.85868E+6	5.77M		
3.116	5.85987E+6	5.73M		
3.1172	5.85531E+6	5.77M		
3.1184	5.85683E+6	5.75M		
3.1196	5.86511E+6	5.77M		
3.1208	5.85978E+6	5.79M		
3.122	5.85342E+6	5.76M		
3.1232	5.85273E+6	5.78M		
3.1244	5.85959E+6	5.77M		
3.1256	5.85753E+6	5.74M		
3.1268	5.85116E+6	5.71M		
3.128	5.86684E+6	5.74M		
3.1292	5.85093E+6	5.79M		
3.1304	5.85502E+6	5.77M		
3.1316	5.85602E+6	5.77M		
3.1328	5.86172E+6	5.78M		
3.134	5.85487E+6	5.76M		
3.1352	5.85395E+6	5.75M		
3.1364	5.85511E+6	5.77M		
3.1376	5.8562E+6	5.73M		
3.1388	5.85349E+6	5.77M		
3.14	5.85447E+6	5.76M		
3.1412	5.85951E+6	5.75M		
3.1424	5.85962E+6	5.75M		
3.1436	5.8595E+6	5.79M		
3.1448	5.86437E+6	5.75M		
3.146	5.853E+6	5.79M		
3.1472	5.86242E+6	5.75M		
3.1484	5.86041E+6	5.77M		
3.1496	5.86017E+6	5.74M		
3.1508	5.85508E+6	5.74M		
3.152	5.85927E+6	5.76M		
3.1532	5.85815E+6	5.73M		
3.1544	5.85319E+6	5.78M		
3.1556	5.86057E+6	5.74M		
3.1568	5.85714E+6	5.78M		
3.158	5.85975E+6	5.76M		
3.1592	5.85766E+6	5.75M		
3.1604	5.85542E+6	5.8M		
3.1616	5.85616E+6	5.74M		
3.1628	5.85232E+6	5.77M		
3.164	5.85578E+6	5.77M		
3.1652	5.85931E+6	5.77M		
3.1664	5.86019E+6	5.76M		
3.1676	5.85852E+6	5.76M		
3.1688	5.85468E+6	5.75M		
3.17	5.85791E+6	5.74M		
3.1712	5.85492E+6	5.77M		
3.1724	5.86416E+6	5.79M		
3.1736	5.8564E+6	5.76M		
3.1748	5.85126E+6	5.76M		
3.176	5.85995E+6	5.78M		
3.1772	5.86236E+6	5.75M		
3.1784	5.85364E+6	5.72M		
3.1796	5.87014E+6	5.74M		
3.1808	5.85538E+6	5.72M		
3.182	5.85436E+6	5.74M		
3.1832	5.85817E+6	5.8M		
3.1844	5.85981E+6	5.76M		
3.1856	5.85573E+6	5.74M		
3.1868	5.85849E+6	5.77M		
3.188	5.85761E+6	5.76M		
3.1892	5.86185E+6	5.74M		
3.1904	5.86574E+6	5.73M		
3.1916	5.86444E+6	5.77M		
3.1928	5.85999E+6	5.74M		
3.194	5.85831E+6	5.73M		
3.1952	5.85043E+6	5.72M		
3.1964	5.86024E+6	5.73M		
3.1976	5.86135E+6	5.72M		
3.1988	5.85639E+6	5.79M		
3.2	5.86004E+6	5.75M		
		5.8M		
		5.74M		
		5.73M		
		5.76M		
		5.74M		
		5.73M		
		5.75M		
		5.74M		
		5.73M		
		5.76M		
		5.74M		
		5.77M		
		5.76M		
		5.78M		
		5.74M		
		5.74M		
		5.76M		
		5.77M		
		5.76M		
		5.73M		
		5.74M		
		5.77M		
		5.77M		
		5.74M		
		5.77M		
		5.73M		
		5.76M		
		5.74M		
		5.76M		
		5.78M		
		5.78M		
		5.75M		
		5.78M		
		5.73M		
		5.76M		
		5.77M		
		5.73M		
		5.77M		
		5.75M		
		5.78M		
		5.74M		
		5.77M		
		5.75M		
		5.75M		
		5.74M		
		5.75M		
		5.75M		
		5.74M		
		5.75M		
		5.75M		
		5.76M		
		5.78M		
		5.7M		
		5.74M		
		5.74M		
		5.76M		
		5.74M		
		5.77M		
		5.76M		
		5.71M		
		5.76M		
		5.75M		
		5.76M		
		5.73M		
		5.75M		
		5.75M		
		5.74M		
		5.75M		
		5.77M		
		5.77M		
		5.75M		
		5.76M		
		5.77M		
		5.74M		
		5.77M		
		5.77M		
		5.75M		
		5.77M		
		5.77M		
		5.77M		
		5.78M		
		5.75M		
		5.75M		
		5.76M		
		5.75M		
		5.8M		
		5.79M		
		5.75M		
		5.77M		
		5.76M		
		5.75M		
		5.77M		
		5.75M		
		5.73M		
		5.77M		
		5.75M		
		5.76M		
		5.75M		
		5.74M		
		5.78M		
		5.75M		
		5.76M		
		5.8M		
		5.76M		
		5.73M		
		5.76M		
		5.73M		
		5.78M		
		5.75M		
		5.74M		
		5.77M		
		5.75M		
		5.77M		
		5.81M		
		5.74M		
		5.75M		
		5.77M		
		5.74M		
		5.77M		
		5.74M		
		5.77M		
		5.75M		
		5.78M		
		5.76M		
		5.75M		
		5.77M		
		5.76M		
		5.73M		
		5.75M		
		5.74M		
		5.76M		
		5.77M		
		5.73M		
		5.76M		
		5.75M		
		5.72M		
		5.77M		
		5.74M		
		5.76M		
		5.72M		
		5.76M		
		5.74M		
		5.77M		
		5.75M		
		5.74M		
		5.75M		
		5.75M		
		5.72M		
		5.74M		
		5.74M		
		5.74M		
		5.74M		
		5.76M		
		5.74M		
		5.73M		
		5.76M		
		5.77M		
		5.76M		
		5.77M		
		5.73M		
		5.78M		
		5.78M		
		5.74M		
		5.74M		
		5.75M		
		5.78M		
		5.75M		
		5.69M		
		5.74M		
		5.73M		
		5.75M		
		5.76M		
		5.73M		
		5.75M		
		5.76M		
		5.76M		
		5.77M		
		5.76M		
		5.77M		
		5.76M		
		5.74M		
		5.78M		
		5.77M		
		5.77M		
		5.78M		
		5.73M		
		5.75M		
		5.77M		
		5.77M		
		5.76M		
		5.74M		
		5.73M		
		5.73M		
		5.78M		
		5.74M		
		5.73M		
		5.71M		
		5.76M		
		5.78M		
		5.76M		
		5.75M		
		5.78M		
		5.75M		
		5.79M		
		5.73M		
		5.76M		
		5.76M		
		5.76M		
		5.77M		
		5.78M		
		5.76M		
		5.75M		
		5.76M		
		5.73M		
		5.76M		
		5.73M		
		5.73M		
		5.72M		
		5.76M		
		5.73M		
		5.76M		
		5.74M		
		5.79M		
		5.75M		
		5.74M		
		5.76M		
		5.78M		
		5.76M		
		5.77M		
		5.73M		
		5.75M		
		5.79M		
		5.76M		
		5.75M		
		5.79M		
		5.75M		
		5.72M		
		5.78M		
		5.76M		
		5.76M		
		5.74M		
		5.72M		
		5.74M		
		5.75M		
		5.74M		
		5.72M		
		5.74M		
		5.76M		
		5.74M		
		5.72M		
		5.77M		
		5.75M		
		5.76M		
		5.72M		
		5.76M		
		5.78M		
		5.76M		
		5.75M		
		5.77M		
		5.77M		
		5.74M		
		5.78M		
		5.75M		
		5.8M		
		5.75M		
		5.76M		
		5.76M		
		5.77M		
		5.74M		
		5.75M		
		5.76M		
		5.77M		
		5.78M		
		5.75M		
		5.73M		
		5.75M		
		5.71M		
		5.77M		
		5.76M		
		5.76M		
		5.76M		
		5.74M		
		5.79M		
		5.77M		
		5.73M		
		5.74M		
		5.77M		
		5.75M		
		5.73M		
		5.76M		
		5.75M		
		5.75M		
		5.74M		
		5.75M		
		5.78M		
		5.76M		
		5.8M		
		5.78M		
		5.71M		
		5.78M		
		5.77M		
		5.76M		
		5.76M		
		5.73M		
		5.74M		
		5.78M		
		5.73M		
		5.76M		
		5.74M		
		5.77M		
		5.73M		
		5.75M		
		5.74M		
		5.78M		
		5.77M		
		5.74M		
		5.74M		
		5.76M		
		5.77M		
		5.8M		
		5.77M		
		5.76M		
		5.76M		
		5.75M		
		5.79M		
		5.74M		
		5.73M		
		5.77M		
		5.76M		
		5.7M		
		5.74M		
		5.77M		
		5.72M		
		5.72M		
		5.75M		
		5.82M		
		5.75M		
		5.75M		
		5.74M		
		5.75M		
		5.72M		
		5.74M		
		5.74M		
		5.77M		
		5.76M		
		5.74M		
		5.8M		
		5.75M		
		5.76M		
		5.71M		
		5.75M		
		5.73M		
		5.72M		
		5.74M		
		5.73M		
		5.76M		
		5.77M		
		5.78M		
		5.75M		
		5.75M		
		5.75M		
		5.77M		
		5.74M		
		5.77M		
		5.73M		
		5.76M		
		5.74M		
		5.77M		
		5.74M		
		5.75M		
		5.7M		
		5.77M		
		5.73M		
		5.77M		
		5.73M		
		5.76M		
		5.77M		
		5.76M		
		5.74M		
		5.77M		
		5.74M		
		5.75M		
		5.74M		
		5.78M		
		5.74M		
		5.79M		
		5.73M		
		5.76M		
		5.74M		
		5.77M		
		5.79M		
		5.76M		
		5.76M		
		5.77M		
		5.76M		
		5.75M		
		5.76M		
		5.74M		
		5.77M		
		5.75M		
		5.79M		
		5.77M		
		5.8M		
		5.73M		
		5.74M		
		5.76M		
		5.72M		
		5.78M		
		5.75M		
		5.74M		
		5.76M		
		5.77M		
		5.75M		
		5.73M		
		5.75M		
		5.73M		
		5.75M		
		5.78M		
		5.76M		
		5.79M		
		5.76M		
		5.8M		
		5.73M		
		5.78M		
		5.75M		
		5.78M		
		5.74M		
		5.76M		
		5.76M		
		5.75M		
		5.74M		
		5.76M		
		5.73M		
		5.74M		
		5.75M		
		5.78M		
		5.72M		
		5.73M		
		5.76M		
		5.75M		
		5.74M		
		5.76M		
		5.73M		
		5.77M		
		5.72M		
		5.78M		
		5.72M		
		5.78M		
		5.75M		
		5.74M		
		5.76M		
		5.78M		
		5.75M		
		5.76M		
		5.74M		
		5.73M		
		5.76M		
		5.74M		
		5.74M		
		5.76M		
		5.75M		
		5.75M		
		5.77M		
		5.75M		
		5.76M		
		5.75M		
		5.73M		
		5.75M		
		5.73M		
		5.78M		
		5.75M		
		5.73M		
		5.76M		
		5.75M		
		5.74M		
		5.76M		
		5.74M		
		5.72M		
		5.75M		
		5.74M		
		5.73M		
		5.74M		
		5.77M		
		5.75M		
		5.8M		
		5.77M		
		5.74M		
		5.73M		
		5.74M		
		5.75M		
		5.77M		
		5.77M		
		5.73M		
		5.78M		
		5.75M		
		5.74M		
		5.76M		
		5.78M		
		5.76M		
		5.74M		
		5.78M		
		5.73M		
		5.74M		
		5.76M		
