f ESR (GHZ)	Amplitude ESR	photolum	Temps - tdv (us)	Amplitude - tdv
		5.74M		
		5.76M		
		5.74M		
		5.71M		
		5.71M		
		5.76M		
		5.74M		
		5.77M		
		5.74M		
		5.79M		
		5.76M		
		5.75M		
		5.75M		
		5.73M		
		5.75M		
		5.76M		
		5.76M		
		5.76M		
		5.75M		
		5.76M		
		5.75M		
		5.73M		
		5.72M		
		5.75M		
		5.76M		
		5.71M		
		5.75M		
		5.77M		
		5.76M		
		5.76M		
		5.76M		
		5.73M		
		5.75M		
		5.75M		
		5.74M		
		5.75M		
		5.75M		
		5.76M		
		5.77M		
		5.74M		
		5.77M		
		5.74M		
		5.77M		
		5.73M		
		5.75M		
		5.76M		
		5.74M		
		5.74M		
		5.76M		
		5.76M		
		5.74M		
		5.77M		
		5.75M		
		5.74M		
		5.74M		
		5.76M		
		5.74M		
		5.77M		
		5.77M		
		5.76M		
		5.77M		
		5.73M		
		5.75M		
		5.77M		
		5.69M		
		5.74M		
		5.76M		
		5.77M		
		5.74M		
		5.75M		
		5.76M		
		5.77M		
		5.74M		
		5.76M		
		5.75M		
		5.75M		
		5.77M		
		5.74M		
		5.75M		
		5.76M		
		5.76M		
		5.78M		
		5.77M		
		5.73M		
		5.73M		
		5.78M		
		5.77M		
		5.77M		
		5.7M		
		5.8M		
		5.73M		
		5.77M		
		5.77M		
		5.75M		
		5.75M		
		5.74M		
		5.76M		
		5.77M		
		5.78M		
		5.77M		
		5.74M		
		5.75M		
		5.73M		
		5.75M		
		5.75M		
		5.77M		
		5.76M		
		5.74M		
		5.76M		
		5.75M		
		5.74M		
		5.73M		
		5.78M		
		5.76M		
		5.76M		
		5.78M		
		5.71M		
		5.72M		
		5.73M		
		5.77M		
		5.78M		
		5.74M		
		5.77M		
		5.76M		
		5.77M		
		5.77M		
		5.75M		
		5.77M		
		5.74M		
		5.77M		
		5.74M		
		5.72M		
		5.74M		
		5.74M		
		5.74M		
		5.74M		
		5.76M		
		5.75M		
		5.73M		
		5.77M		
		5.76M		
		5.76M		
		5.77M		
		5.78M		
		5.76M		
		5.78M		
		5.79M		
		5.72M		
		5.75M		
		5.74M		
		5.76M		
		5.74M		
		5.72M		
		5.75M		
		5.74M		
		5.79M		
		5.76M		
		5.73M		
		5.77M		
		5.75M		
		5.77M		
		5.74M		
		5.77M		
		5.75M		
		5.73M		
		5.73M		
		5.76M		
		5.74M		
		5.74M		
		5.74M		
		5.76M		
		5.75M		
		5.73M		
		5.76M		
		5.79M		
		5.76M		
		5.71M		
		5.74M		
		5.77M		
		5.75M		
		5.78M		
		5.75M		
		5.74M		
		5.75M		
		5.8M		
		5.76M		
		5.74M		
		5.79M		
		5.73M		
		5.77M		
		5.7M		
		5.73M		
		5.75M		
		5.76M		
		5.74M		
		5.78M		
		5.75M		
		5.73M		
		5.75M		
		5.76M		
		5.75M		
		5.75M		
		5.73M		
		5.75M		
		5.76M		
		5.74M		
		5.74M		
		5.76M		
		5.74M		
		5.75M		
		5.75M		
		5.75M		
		5.75M		
		5.77M		
		5.75M		
		5.78M		
		5.74M		
		5.74M		
		5.72M		
		5.77M		
		5.78M		
		5.7M		
		5.73M		
		5.73M		
		5.75M		
		5.76M		
		5.76M		
		5.75M		
		5.74M		
		5.76M		
		5.75M		
		5.76M		
		5.74M		
		5.74M		
		5.78M		
		5.76M		
		5.72M		
		5.77M		
		5.76M		
		5.72M		
		5.76M		
		5.79M		
		5.75M		
		5.75M		
		5.74M		
		5.78M		
		5.76M		
		5.8M		
		5.76M		
		5.79M		
		5.75M		
		5.74M		
		5.74M		
		5.74M		
		5.78M		
		5.75M		
		5.74M		
		5.74M		
		5.77M		
		5.76M		
		5.75M		
		5.73M		
		5.76M		
		5.77M		
		5.75M		
		5.77M		
		5.76M		
		5.77M		
		5.74M		
		5.76M		
		5.73M		
		5.76M		
		5.74M		
		5.72M		
		5.72M		
		5.74M		
		5.73M		
		5.77M		
		5.75M		
		5.74M		
		5.79M		
		5.74M		
		5.75M		
		5.73M		
		5.76M		
		5.76M		
		5.76M		
		5.74M		
		5.75M		
		5.76M		
		5.77M		
		5.76M		
		5.74M		
		5.74M		
		5.75M		
		5.79M		
		5.76M		
		5.76M		
		5.77M		
		5.76M		
		5.77M		
		5.75M		
		5.72M		
		5.77M		
		5.74M		
		5.76M		
		5.74M		
		5.79M		
		5.72M		
		5.74M		
		5.73M		
		5.77M		
		5.74M		
		5.74M		
		5.77M		
		5.77M		
		5.72M		
		5.74M		
		5.75M		
		5.72M		
		5.78M		
		5.75M		
		5.74M		
		5.78M		
		5.75M		
		5.82M		
		5.76M		
		5.75M		
		5.72M		
		5.77M		
		5.76M		
		5.72M		
		5.77M		
		5.74M		
		5.75M		
		5.75M		
		5.75M		
		5.76M		
		5.77M		
		5.75M		
		5.76M		
		5.74M		
		5.74M		
		5.77M		
		5.76M		
		5.72M		
		5.72M		
		5.75M		
		5.76M		
		5.74M		
		5.77M		
		5.75M		
		5.78M		
		5.74M		
		5.76M		
		5.73M		
		5.77M		
		5.77M		
		5.73M		
		5.74M		
		5.73M		
		5.77M		
		5.76M		
		5.76M		
		5.75M		
		5.76M		
		5.75M		
		5.75M		
		5.77M		
		5.75M		
		5.77M		
		5.75M		
		5.77M		
		5.74M		
		5.75M		
		5.75M		
		5.77M		
		5.73M		
		5.75M		
		5.75M		
		5.76M		
		5.77M		
		5.76M		
		5.79M		
		5.76M		
		5.75M		
		5.73M		
		5.74M		
		5.76M		
		5.75M		
		5.75M		
		5.77M		
		5.76M		
		5.76M		
		5.73M		
		5.75M		
		5.76M		
		5.78M		
		5.74M		
		5.77M		
		5.76M		
		5.73M		
		5.74M		
		5.74M		
		5.75M		
		5.74M		
		5.75M		
		5.74M		
		5.74M		
		5.78M		
		5.78M		
		5.75M		
		5.79M		
		5.74M		
		5.76M		
		5.73M		
		5.73M		
		5.76M		
		5.76M		
		5.76M		
		5.74M		
		5.76M		
		5.72M		
		5.74M		
		5.78M		
		5.75M		
		5.76M		
		5.73M		
		5.78M		
		5.78M		
		5.77M		
		5.75M		
		5.73M		
		5.74M		
		5.73M		
		5.78M		
		5.72M		
		5.75M		
		5.72M		
		5.76M		
		5.79M		
		5.75M		
		5.7M		
		5.75M		
		5.75M		
		5.74M		
		5.76M		
		5.77M		
		5.76M		
		5.75M		
		5.74M		
		5.75M		
		5.77M		
		5.77M		
		5.78M		
		5.75M		
		5.77M		
		5.74M		
		5.74M		
		5.75M		
		5.75M		
		5.76M		
		5.74M		
		5.73M		
		5.76M		
		5.73M		
		5.77M		
		5.78M		
		5.76M		
		5.76M		
		5.74M		
		5.72M		
		5.76M		
		5.75M		
		5.73M		
		5.73M		
		5.75M		
		5.77M		
		5.75M		
		5.74M		
		5.73M		
		5.73M		
		5.76M		
		5.75M		
		5.75M		
		5.76M		
		5.74M		
		5.79M		
		5.76M		
		5.79M		
		5.75M		
		5.75M		
		5.73M		
		5.77M		
		5.75M		
		5.79M		
		5.76M		
		5.77M		
		5.73M		
		5.76M		
		5.74M		
		5.73M		
		5.73M		
		5.76M		
		5.75M		
		5.76M		
		5.76M		
		5.73M		
		5.77M		
		5.74M		
		5.77M		
		5.74M		
		5.74M		
		5.74M		
		5.76M		
		5.77M		
		5.73M		
		5.73M		
		5.72M		
		5.77M		
		5.74M		
		5.73M		
		5.75M		
		5.77M		
		5.75M		
		5.78M		
		5.71M		
		5.72M		
		5.76M		
		5.73M		
		5.71M		
		5.73M		
		5.74M		
		5.78M		
		5.73M		
		5.76M		
		5.76M		
		5.75M		
		5.72M		
		5.71M		
		5.74M		
		5.73M		
		5.73M		
		5.74M		
		5.72M		
		5.74M		
		5.73M		
		5.74M		
		5.72M		
		5.72M		
		5.75M		
		5.78M		
		5.72M		
		5.77M		
		5.73M		
		5.76M		
		5.76M		
		5.76M		
		5.75M		
		5.79M		
		5.74M		
		5.72M		
		5.71M		
		5.77M		
		5.73M		
		5.74M		
		5.73M		
		5.76M		
		5.74M		
		5.77M		
		5.79M		
		5.75M		
		5.76M		
		5.76M		
		5.73M		
		5.74M		
		5.76M		
		5.78M		
		5.73M		
		5.76M		
		5.75M		
		5.76M		
		5.74M		
		5.73M		
		5.76M		
		5.77M		
		5.79M		
		5.76M		
		5.75M		
		5.75M		
		5.74M		
		5.71M		
		5.8M		
		5.79M		
		5.73M		
		5.75M		
		5.75M		
		5.75M		
		5.78M		
		5.73M		
		5.74M		
		5.76M		
		5.75M		
		5.75M		
		5.74M		
		5.73M		
		5.73M		
		5.72M		
		5.77M		
		5.73M		
		5.73M		
		5.74M		
		5.73M		
		5.71M		
		5.76M		
		5.77M		
		5.75M		
		5.76M		
		5.75M		
		5.78M		
		5.75M		
		5.75M		
		5.76M		
		5.72M		
		5.72M		
		5.71M		
		5.74M		
		5.75M		
		5.78M		
		5.75M		
		5.76M		
		5.73M		
		5.74M		
		5.73M		
		5.75M		
		5.79M		
		5.77M		
		5.74M		
		5.77M		
		5.71M		
		5.81M		
		5.74M		
		5.78M		
		5.76M		
		5.75M		
		5.76M		
		5.75M		
		5.74M		
		5.74M		
		5.75M		
		5.72M		
		5.77M		
		5.71M		
		5.75M		
		5.75M		
		5.76M		
		5.77M		
		5.75M		
		5.73M		
		5.75M		
		5.72M		
		5.75M		
		5.76M		
		5.72M		
		5.76M		
		5.77M		
		5.74M		
		5.74M		
		5.75M		
		5.7M		
		5.75M		
		5.78M		
		5.8M		
		5.72M		
		5.76M		
		5.77M		
		5.72M		
		5.72M		
		5.72M		
		5.74M		
		5.73M		
		5.74M		
		5.75M		
		5.78M		
		5.76M		
		5.76M		
		5.73M		
		5.76M		
		5.75M		
		5.73M		
		5.76M		
		5.75M		
		5.76M		
		5.74M		
		5.72M		
		5.75M		
		5.76M		
		5.76M		
		5.74M		
		5.7M		
		5.73M		
		5.75M		
		5.72M		
		5.75M		
		5.73M		
		5.76M		
		5.75M		
		5.75M		
		5.76M		
		5.74M		
		5.74M		
		5.76M		
		5.79M		
		5.75M		
		5.75M		
		5.76M		
		5.73M		
		5.78M		
		5.74M		
		5.74M		
		5.76M		
		5.77M		
		5.77M		
		5.74M		
		5.72M		
		5.76M		
		5.72M		
		5.76M		
		5.75M		
		5.74M		
		5.73M		
		5.73M		
		5.79M		
		5.76M		
		5.75M		
		5.72M		
		5.73M		
		5.76M		
		5.78M		
		5.72M		
		5.72M		
		5.73M		
		5.71M		
		5.75M		
		5.75M		
		5.77M		
		5.77M		
		5.73M		
		5.72M		
		5.73M		
		5.76M		
		5.76M		
		5.76M		
		5.75M		
		5.74M		
		5.78M		
		5.76M		
		5.76M		
		5.72M		
		5.75M		
		5.76M		
		5.73M		
		5.74M		
		5.77M		
		5.71M		
		5.79M		
		5.77M		
		5.74M		
		5.76M		
		5.73M		
		5.74M		
		5.77M		
		5.72M		
		5.71M		
		5.74M		
		5.76M		
		5.73M		
		5.76M		
		5.73M		
		5.75M		
		5.73M		
		5.73M		
		5.76M		
		5.76M		
		5.76M		
		5.75M		
		5.8M		
		5.75M		
		5.73M		
		5.73M		
		5.75M		
		5.78M		
		5.75M		
		5.76M		
		5.76M		
		5.76M		
		5.75M		
		5.74M		
		5.72M		
		5.75M		
		5.75M		
		5.74M		
		5.71M		
		5.75M		
		5.75M		
		5.75M		
		5.71M		
		5.75M		
		5.78M		
		5.72M		
		5.72M		
		5.74M		
		5.74M		
		5.78M		
		5.74M		
		5.75M		
		5.75M		
		5.74M		
		5.74M		
		5.72M		
		5.79M		
		5.78M		
		5.74M		
		5.71M		
		5.74M		
		5.73M		
		5.75M		
		5.78M		
		5.75M		
		5.73M		
		5.75M		
		5.73M		
		5.77M		
		5.77M		
		5.74M		
		5.76M		
		5.74M		
		5.76M		
		5.76M		
		5.76M		
		5.73M		
		5.76M		
		5.7M		
		5.79M		
		5.75M		
		5.69M		
		5.71M		
		5.77M		
		5.71M		
		5.78M		
		5.8M		
		5.77M		
		5.75M		
		5.76M		
		5.74M		
		5.74M		
		5.76M		
		5.73M		
		5.75M		
		5.74M		
		5.74M		
		5.74M		
		5.73M		
		5.76M		
		5.76M		
		5.74M		
		5.73M		
		5.75M		
		5.76M		
		5.77M		
		5.77M		
		5.74M		
		5.72M		
		5.74M		
		5.77M		
		5.75M		
		5.73M		
		5.73M		
		5.72M		
		5.74M		
		5.77M		
		5.74M		
		5.74M		
		5.76M		
		5.75M		
		5.77M		
		5.72M		
		5.75M		
		5.74M		
		5.74M		
		5.74M		
		5.71M		
		5.75M		
		5.77M		
		5.75M		
		5.74M		
		5.71M		
		5.71M		
		5.74M		
		5.76M		
		5.74M		
		5.75M		
		5.75M		
		5.78M		
		5.75M		
		5.73M		
		5.74M		
		5.74M		
		5.74M		
		5.74M		
		5.72M		
		5.73M		
		5.72M		
		5.74M		
		5.76M		
		5.73M		
		5.73M		
		5.74M		
		5.74M		
		5.74M		
		5.73M		
		5.77M		
		5.75M		
		5.76M		
		5.74M		
		5.78M		
		5.74M		
		5.75M		
		5.74M		
		5.72M		
		5.75M		
		5.79M		
		5.73M		
		5.75M		
		5.74M		
		5.76M		
		5.75M		
		5.7M		
		5.71M		
		5.72M		
		5.75M		
		5.74M		
		5.74M		
		5.74M		
		5.74M		
		5.74M		
		5.74M		
		5.76M		
		5.76M		
		5.77M		
		5.73M		
		5.75M		
		5.75M		
		5.76M		
		5.75M		
		5.79M		
		5.76M		
		5.74M		
		5.73M		
		5.76M		
		5.76M		
		5.76M		
		5.74M		
		5.76M		
		5.77M		
		5.77M		
