Amplitude = 2V, offset = +1V, dt=1e-5, dV=1e-4

Time - Filtered	Amplitude - Filtered	
0	5,77403E+7	
1	5,77667E+7	
2	5,77851E+7	
3	5,78055E+7	
4	5,78403E+7	
5	5,78687E+7	
6	5,79224E+7	
7	5,79627E+7	
8	5,8006E+7	
9	5,80587E+7	
10	5,80821E+7	
11	5,8108E+7	
12	5,81249E+7	
13	5,81493E+7	
14	5,81557E+7	
15	5,8202E+7	
16	5,82502E+7	
17	5,82692E+7	
18	5,83114E+7	
19	5,83597E+7	
20	5,83473E+7	
21	5,83856E+7	
22	5,84453E+7	
23	5,84746E+7	
24	5,85388E+7	
25	5,85816E+7	
26	5,86119E+7	
27	5,86179E+7	
28	5,86348E+7	
29	5,86537E+7	
30	5,86985E+7	
31	5,87502E+7	
32	5,87229E+7	
33	5,87448E+7	
34	5,87801E+7	
35	5,87955E+7	
36	5,88139E+7	
37	5,88537E+7	
38	5,88995E+7	
39	5,89498E+7	
40	5,90055E+7	
41	5,90338E+7	
42	5,90269E+7	
43	5,90826E+7	
44	5,91095E+7	
45	5,91403E+7	
46	5,91532E+7	
47	5,9195E+7	
48	5,92363E+7	
49	5,92622E+7	
50	5,93189E+7	
51	5,93398E+7	
52	5,93423E+7	
53	5,94005E+7	
54	5,94249E+7	
55	5,94672E+7	
56	5,94985E+7	
57	5,94955E+7	
58	5,95124E+7	
59	5,95582E+7	
60	5,95806E+7	
61	5,96408E+7	
62	5,96572E+7	
63	5,96662E+7	
64	5,97194E+7	
65	5,97368E+7	
66	5,97567E+7	
67	5,9798E+7	
68	5,98254E+7	
69	5,98577E+7	
70	5,98871E+7	
71	5,99229E+7	
72	5,99657E+7	
73	5,99806E+7	
74	6,00134E+7	
75	6,00473E+7	
76	6,00791E+7	
77	6,01035E+7	
78	6,01393E+7	
79	6,01542E+7	
80	6,0208E+7	
81	6,02189E+7	
82	6,02323E+7	
83	6,02542E+7	
84	6,02617E+7	
85	6,029E+7	
86	6,0296E+7	
87	6,03249E+7	
88	6,03652E+7	
89	6,0392E+7	
90	6,04348E+7	
91	6,04846E+7	
92	6,05134E+7	
93	6,05478E+7	
94	6,05816E+7	
95	6,0607E+7	
96	6,06169E+7	
97	6,06557E+7	
98	6,07025E+7	
99	6,07055E+7	
100	6,06935E+7	
101	6,06925E+7	
102	6,07224E+7	
103	6,07468E+7	
104	6,07776E+7	
105	6,08274E+7	
106	6,08677E+7	
107	6,09025E+7	
108	6,09577E+7	
109	6,09871E+7	
110	6,10169E+7	
111	6,10552E+7	
112	6,10806E+7	
113	6,11408E+7	
114	6,11716E+7	
115	6,12378E+7	
116	6,12821E+7	
117	6,13294E+7	
118	6,13567E+7	
119	6,13866E+7	
120	6,1397E+7	
121	6,14144E+7	
122	6,14463E+7	
123	6,14637E+7	
124	6,14886E+7	
125	6,15025E+7	
126	6,15408E+7	
127	6,15527E+7	
128	6,15721E+7	
129	6,15652E+7	
130	6,16159E+7	
131	6,16532E+7	
132	6,16672E+7	
133	6,16905E+7	
134	6,17353E+7	
135	6,17572E+7	
136	6,17672E+7	
137	6,179E+7	
138	6,18279E+7	
139	6,18488E+7	
140	6,18811E+7	
141	6,1896E+7	
142	6,18866E+7	
143	6,19234E+7	
144	6,19383E+7	
145	6,19433E+7	
146	6,19716E+7	
147	6,20025E+7	
148	6,20303E+7	
149	6,20761E+7	
150	6,21308E+7	
151	6,21458E+7	
152	6,21856E+7	
153	6,2208E+7	
154	6,22229E+7	
155	6,22507E+7	
156	6,22965E+7	
157	6,23363E+7	
158	6,2404E+7	
159	6,24274E+7	
160	6,24766E+7	
161	6,25164E+7	
162	6,25378E+7	
163	6,25886E+7	
164	6,26085E+7	
165	6,26348E+7	
166	6,26502E+7	
167	6,26741E+7	
168	6,27194E+7	
169	6,27866E+7	
170	6,28294E+7	
171	6,28672E+7	
172	6,28851E+7	
173	6,2907E+7	
174	6,29229E+7	
175	6,29577E+7	
176	6,29756E+7	
177	6,29692E+7	
178	6,30184E+7	
179	6,30537E+7	
180	6,30891E+7	
181	6,31343E+7	
182	6,31527E+7	
183	6,31716E+7	
184	6,32164E+7	
185	6,32269E+7	
186	6,32667E+7	
187	6,33154E+7	
188	6,33582E+7	
189	6,33726E+7	
190	6,34284E+7	
191	6,34483E+7	
192	6,34861E+7	
193	6,35154E+7	
194	6,35672E+7	
195	6,3593E+7	
196	6,36403E+7	
197	6,36841E+7	
198	6,36896E+7	
199	6,37353E+7	
200	6,37801E+7	
201	6,3795E+7	
202	6,37955E+7	
203	6,37846E+7	
204	6,37741E+7	
205	6,37662E+7	
206	6,37781E+7	
207	6,37682E+7	
208	6,37443E+7	
209	6,37398E+7	
210	6,37119E+7	
211	6,37199E+7	
212	6,37438E+7	
213	6,37418E+7	
214	6,37299E+7	
