amplitude = 1V = 7.5*1 GHz, offset = -2V, dt=1e-5, dV=1e-4

Série 3 : ~2000 iterations


Time - Filtered	Amplitude - Filtered	
0	3,26378E+7	
1	3,26572E+7	
2	3,26776E+7	
3	3,26896E+7	
4	3,27353E+7	
5	3,27552E+7	
6	3,27846E+7	
7	3,27955E+7	
8	3,2802E+7	
9	3,28318E+7	
10	3,28537E+7	
11	3,28716E+7	
12	3,29095E+7	
13	3,2908E+7	
14	3,29458E+7	
15	3,29493E+7	
16	3,29493E+7	
17	3,29547E+7	
18	3,29597E+7	
19	3,29905E+7	
20	3,30174E+7	
21	3,30473E+7	
22	3,30796E+7	
23	3,311E+7	
24	3,31507E+7	
25	3,31811E+7	
26	3,31826E+7	
27	3,3193E+7	
28	3,32E+7	
29	3,32065E+7	
30	3,32368E+7	
31	3,32517E+7	
32	3,32672E+7	
33	3,32881E+7	
34	3,33368E+7	
35	3,33672E+7	
36	3,33955E+7	
37	3,34065E+7	
38	3,34279E+7	
39	3,34657E+7	
40	3,34881E+7	
41	3,3506E+7	
42	3,35259E+7	
43	3,35294E+7	
44	3,35647E+7	
45	3,35985E+7	
46	3,36294E+7	
47	3,36527E+7	
48	3,36761E+7	
49	3,36846E+7	
50	3,3706E+7	
51	3,371E+7	
52	3,3704E+7	
53	3,37249E+7	
54	3,37622E+7	
55	3,3792E+7	
56	3,38159E+7	
57	3,38353E+7	
58	3,38488E+7	
59	3,38766E+7	
60	3,3895E+7	
61	3,39403E+7	
62	3,39448E+7	
63	3,39721E+7	
64	3,40209E+7	
65	3,40368E+7	
66	3,40701E+7	
67	3,40786E+7	
68	3,40766E+7	
69	3,41015E+7	
70	3,41189E+7	
71	3,41463E+7	
72	3,41811E+7	
73	3,42114E+7	
74	3,42368E+7	
75	3,42318E+7	
76	3,42617E+7	
77	3,42781E+7	
78	3,42826E+7	
79	3,4293E+7	
80	3,43418E+7	
81	3,43567E+7	
82	3,43861E+7	
83	3,44065E+7	
84	3,44055E+7	
85	3,44483E+7	
86	3,44697E+7	
87	3,44985E+7	
88	3,45114E+7	
89	3,45154E+7	
90	3,45478E+7	
91	3,45507E+7	
92	3,45672E+7	
93	3,45672E+7	
94	3,46174E+7	
95	3,46308E+7	
96	3,46711E+7	
97	3,46736E+7	
98	3,47E+7	
99	3,47075E+7	
100	3,47333E+7	
101	3,47577E+7	
102	3,47746E+7	
103	3,47796E+7	
104	3,4791E+7	
105	3,48149E+7	
106	3,48438E+7	
107	3,48502E+7	
108	3,48905E+7	
109	3,49114E+7	
110	3,49308E+7	
111	3,49493E+7	
112	3,49781E+7	
113	3,49945E+7	
114	3,50085E+7	
115	3,50607E+7	
116	3,50687E+7	
117	3,51085E+7	
118	3,51279E+7	
119	3,51299E+7	
120	3,51473E+7	
121	3,51587E+7	
122	3,51557E+7	
123	3,51682E+7	
124	3,5192E+7	
125	3,52E+7	
126	3,52109E+7	
127	3,52428E+7	
128	3,52701E+7	
129	3,52881E+7	
130	3,52925E+7	
131	3,53065E+7	
132	3,53199E+7	
133	3,53383E+7	
134	3,53527E+7	
135	3,53692E+7	
136	3,53751E+7	
137	3,53637E+7	
138	3,53821E+7	
139	3,54184E+7	
140	3,54512E+7	
141	3,5496E+7	
142	3,55299E+7	
