Temps - Tracé 0	Amplitude - Tracé 0	
0.000335	719264	
0.000336	725941	
0.000337	718405	
0.000338	723982	
0.000339	722978	
0.00034	721937	
0.000341	718901	
0.000342	719784	
0.000343	719627	
0.000344	721042	
0.000345	720256	
0.000346	719361	
0.000347	714789	
0.000348	723425	
0.000349	721357	
0.00035	719071	
0.000351	721744	
0.000352	718925	
0.000353	724054	
0.000354	719990	
0.000355	721647	
0.000356	719071	
0.000357	720280	
0.000358	718550	
0.000359	718333	
0.00036	714135	
0.000361	718284	
0.000362	721018	
0.000363	719881	
0.000364	720921	
0.000365	720413	
0.000366	711099	
0.000367	713676	
0.000368	715805	
0.000369	713385	
0.00037	711220	
0.000371	717208	
0.000372	720171	
0.000373	714268	
0.000374	711353	
0.000375	715490	
0.000376	712660	
0.000377	710918	
0.000378	717704	
0.000379	709902	
0.00038	717970	
0.000381	718913	
0.000382	715176	
0.000383	714716	
0.000384	711547	
0.000385	715913	
0.000386	710978	
0.000387	713760	
0.000388	718853	
0.000389	715139	
0.00039	716022	
0.000391	717365	
0.000392	719566	
0.000393	715986	
0.000394	711910	
0.000395	721853	
0.000396	718974	
0.000397	719300	
0.000398	716905	
0.000399	719421	
0.0004	717643	
0.000401	714922	
0.000402	716809	
0.000403	718502	
0.000404	716409	
0.000405	722844	
0.000406	713724	
0.000407	714184	
0.000408	717135	
0.000409	720280	
0.00041	718780	
0.000411	716434	
0.000412	720123	
0.000413	714184	
0.000414	718345	
0.000415	720171	
0.000416	717667	
0.000417	718913	
0.000418	721986	
0.000419	716422	
0.00042	718841	
0.000421	722857	
0.000422	714728	
0.000423	717607	
0.000424	717232	
0.000425	720679	
0.000426	719712	
0.000427	716397	
0.000428	720958	
0.000429	718865	
0.00043	717099	
0.000431	718248	
0.000432	720631	
0.000433	716881	
0.000434	723171	
0.000435	719276	
0.000436	715889	
0.000437	717921	
0.000438	716809	
0.000439	718937	
0.00044	719542	
0.000441	719518	
0.000442	713216	
0.000443	721732	
0.000444	718889	
0.000445	716107	
0.000446	716422	
0.000447	717958	
0.000448	712164	
0.000449	717353	
0.00045	712781	
0.000451	715224	
0.000452	718260	
0.000453	713881	
0.000454	719264	
0.000455	713506	
0.000456	718151	
0.000457	715877	
0.000458	721248	
0.000459	715103	
0.00046	716954	
0.000461	716954	
0.000462	718526	
0.000463	711039	
0.000464	718357	
0.000465	710615	
0.000466	712248	
0.000467	708402	
0.000468	720341	
0.000469	714014	
0.00047	715526	
0.000471	712309	
0.000472	717873	
0.000473	714075	
0.000474	720195	
0.000475	716796	
0.000476	717438	
0.000477	717389	
0.000478	713531	
0.000479	716422	
0.00048	724441	
0.000481	717849	
0.000482	717292	
0.000483	716047	
0.000484	718103	
0.000485	717510	
0.000486	720038	
0.000487	719264	
0.000488	716688	
0.000489	719929	
0.00049	719228	
0.000491	721248	
0.000492	715381	
0.000493	721248	
0.000494	729340	
0.000495	723207	
0.000496	718381	
0.000497	722881	
0.000498	722639	
0.000499	719325	
0.0005	725614	
0.000501	719325	
0.000502	722433	
